date‎text
2004-06-20‎urlLink    beautiful midnight
2004-06-14‎urlLink    blackspirit
2004-06-14‎urlLink    evil
2004-06-14‎urlLink    fido
2004-06-14‎urlLink    marc1o1
2004-06-14‎urlLink    Nini
2004-06-14‎urlLink    Vash
2004-06-14‎urlLink    xendude
2004-06-14‎urlLink    yongkian
2004-06-14‎urlLink    Naruto
2004-06-14‎The image about this post is the latest one and no more editing is allow. Right click the Imahe or click on the image for the URL.
2004-06-14‎urlLink    hikorito a.k.a Blacksspirit(lastest version)
2004-06-10‎urlLink    Hikorito a.k.a Black Spirit (latest version)
2004-06-10‎urlLink    Kazuto a.k.a Vash
2004-06-10‎urlLink    Jewelz a.k.a Naruto (lastest version)
2004-06-09‎Em...the person who is drawing us haviung send yours.Sorry about that. I will try to get her on and post yours here!Sorry about that!
2004-06-09‎Here is the list of the graphic which someone draw it and nickname you choose. Thoes will be use in the NH Plot. Please do not give this URL to user expect NH staff. If you didn't see your name here, they are going to add soon because the person who draw is doing the editing.  You can ask for edit your graphic like gender,add glasses and etc as long as it did not change the whole graphic. Please understand our poor person who drawing us. The person who draw us will try her best. If you want to edit, you can post your needs by clicking comment under your graphic and post whatever you want. I will let the person who draw us know and see wherether it can be done or not.That will make my job easier.I got lot PM to read...  And also,please check that your nickname is correct. If you want to change your nickname, you can post your needs by clicking comment under your graphic and post your new nick name.  P.S:Vash and Marco1o1's graphic will be post here tomrrow(10 JUNE) 12 am NST(or latter).
2004-06-09‎urlLink    KRishNO a.k.a Amit
2004-06-09‎urlLink    Mina-chan a.k.a Beautiful Midnight
2004-06-09‎urlLink    Hikorito a.k.a Black Spirit
2004-06-09‎urlLink    Attii a.k.a Evil
2004-06-09‎urlLink    Ben a.k.a Fido
2004-06-09‎urlLink    Jewelz a.k.a Naruto
2004-06-09‎urlLink    Genu a.k.a Nini
2004-06-09‎urlLink    Naturae a.k.a Xendude
2004-06-09‎urlLink    Subwoofer a.k.a yongkian
