date‎text
2004-05-22‎urlLink FarCry > News > Current It's called Farcry. Its the BEST GRAPHICS GAME U WILL EVER C till now in ur life. BELIEVE ME, the GRAPHICS is much much better than driv3r. u SHUD BUY this game if u hav a powerful pc. chk out the site n enjoy. if u need more information email da admin
2004-05-21‎urlLink LAUNCHcast Home  damn this is great. free internet radio of your choice. oh yh did i say its free. it cool u rate the music and u get them on ur radio more and more often and radio get smarter everytime u rate. chk it out ur self
2004-05-21‎urlLink    The Apple Store (U.S.)  hmmm ipod mini. buy it abroad and get it cheap!!! $249 =Â£139 thts cheap for uk ppl try get one abroad. oh yh dn't forget to get the adapter for international uses!
2004-05-21‎urlLink Driv3r  wow new game. driver 3 a.k.a. driv3r well its just the 3rd edition of driver and 2. i did not have the chance to play it but i knw some1 hu knws about them games and i'll ask him to post a downlow about the game. meanwhile use the link a view the site. (flash required)
2004-05-20‎urlLink Mess with MSN Messenger: msn emoticons nicknames skins download addons bots  this page is cool it got lots and lots of features and addons for msn messenger
2004-05-20‎urlLink EASYMP3S.com  free mp3 albums to download!! but beware only the full albums links to the normal sites, get popup blocker (google toolbar) and dn't try pressing yes whn some popup comes up ur screen or u'll be bombarded with adverts that passes through ur popup blocker and if u do i recommend u get adaware (lavasoft) or spybot (grisoft) happy illegal downloadin!!
2004-05-20‎urlLink Gmail - Inbox  aha!! finally a gmail account. this gmail is far better than msn , hotmail and all the others because it has 1gb space for free and some cool archiving gadget. now its only in beta and only few ppl have gmail!! and i am 1 of the few ppl :P
2004-05-20‎urlLink icefuzion friends pic  hey thr cannon ppl here is a link to my friends pic page. it is still not fully updated but i still added some pics because its da only page with more viewers on my old version of my site. email me more pics whn u have the time root@icefuzion.com
2004-05-20‎urlLink Order the Windows Security Update CD  aha!! dn't  have broadband and u need to update ur windows no problem click the link, sign in and wait for them 2 send u a cd via da post. aint tht great!!
2004-05-20‎urlLink icefuzion News  my site is under repair ill get back to it with a new and better look
2004-05-20‎urlLink Napster.co.uk  yes finally uk version of napster is online. i dn't like napster (the music soft) that much but i like the napster bits(good beats whn he is in da hospital)  urlLink napster bits
2004-05-20‎urlLink Apple - Movie Trailers  the main database i knw that haveloads of trailers from different movies.  soul plane sounds goood and shaolin soccer.  i've seen shaolin soccer in japanese version with eng subs. tht movie is aite its jokes with tht skinny japanese guy tryin to fight the main actor
2004-05-20‎"urlLink Nike Football - Goodbye Hoof, Hello Nutmeg  olÃ© found a freebie ""the nike magazine"" shit its limited edition quick grab one. i ordered mine already haha. it shows u how to do tricks or something like tht just chk it out and u'll see"
2004-05-20‎urlLink orneryboy by michael lalonde  this site is jokes. chk it out. dam i need to stop using this blog and revise!!
2004-05-20‎man i hate it sometimes it takes ages to view a page and i got broadband what da fuck is goin on. i got the latest driver and tweaker for internet and it still lags
2004-05-20‎urlLink AzrAeL - virtual soulhacker version 1.3  hey chk this i stumbled upon an artist in australia she can draw!! chk her sketches. ps damn i like this blogging thing so much
2004-05-20‎urlLink The Digital Art Community - GFXartist.com - Over 36,000 pages of digital expression    this site is soooo cool chk them pictures and drawing thy look sooo gud. yo soz about jakin da pic of da guys site
2004-05-20‎urlLink Tiscali UK. Information, entertainment, broadband, email and internet access.  this is a good isp. well its better than demon isp bcoz demon is shit shit shit shit. tiscali is gud gud gud gud if u choosin broadband i recommend tiscali , btbroadband or ntl
2004-05-20‎urlLink icefuzion News  if u want to be a member of this blog please email me by clicking on contact us
2004-05-20‎urlLink -::icefuzion::-   For ppl hu dn't knw yet i have opened a forum, auction page, chatroom and art gallery. And also an emailer to prank ppl u just change the from add to ur friends email add or event one dat dn't exist and send it to the victim!! :P
2004-05-20‎"urlLink Habbo Hotel - Home Page     Habbo Festival 2004 go check it out and add me if u wnt (nitr021) or go to my room search ""icefuzion"" and chk if thr is my user name on it. p.s. i like this bloggin thing soooo much"
2004-05-20‎urlLink Google Toolbar  oh yh also if u want some really cool popupblocker i recommend google toolbar its better then da msn one well its really gud and if u want 2 blog somethin onto my site well just send me an email then i will post u da username and password(if ur worth it)
2004-05-20‎urlLink GRAND THEFT AUTO : SAN ANDREAS  Yh!!!! Gta sanandreas coming soon!! around october this year. try go on it and view da screen shots
2004-05-20‎urlLink RuneScape - the massive online adventure game by Jagex Ltd  ahoy thr runescape fans there is a new quest on runescape. i haven't done it yet but i am going to go play it afta da exams. oh yh gud luck to ppl doing thr gcse!
2004-05-20‎hey thr m8y i have found the best weblogger ever (sort of) im still a beginner to google weblog but i am goin to use this 2 post stuff up (news) and freebies i find on the net (games). i will also post games article and oda stuff
2004-06-05‎urlLink EA GAMES | Need for Speed Underground 2  The next hot cool driving game will soon be released to impress our eyes. A driving game addict shud visit this top site.
2004-06-03‎urlLink Icefuzion Blogs after the exam i will go make free download page for mobile phones. i would put screen displays which i would make myself and put up ringtones that i would convert to midi and other formats for different phones.
2004-06-02‎urlLink Life After the Oil Crash  this is really scary check it out
2004-06-01‎urlLink Crime Scene Tape Practical Jokes From The Prank Place  we should all buy this if u got annoying ppl knockin at your door (jehova witness) or even just for fun like tape it around da skool gates and wait for ppl reactions. **no offence**
2004-05-30‎urlLink ThemeXP > Home  here is a link for style xp! it has loads of addons for it.
2004-05-30‎urlLink TEXT Soft :: Products :: Style XP  cool stuff for your PC!! Its some add on for windows XP which spruces up your display, theme, boot screen and logon screen!
2004-06-12‎urlLink MMORPG.COM - Your Headquarters for Massive Multiplayer Online Role-Playing Games! cool stuff on the site. oh yh shuld i put a mailing list on the site? and also mail me on nitrogen@gmail.com to add stuff to the site
2004-06-11‎urlLink index  my old friends site
2004-06-11‎urlLink Uplink  really cool game. its a hacking game. it makes you feel like a hacker but your not really but its fun!! download the demo
2004-06-25‎urlLink GameCopyWorld - Sacred
2004-06-24‎urlLink Runescape clan  my runescape clan!!
2004-06-22‎urlLink zone    urlLink keygen
2004-07-03‎urlLink Google Deskbar This is well cool and very practical!! check this out!!!
2004-07-01‎urlLink Napster.co.uk  free napster trial u can download 11mb free
2004-06-30‎urlLink Weebl and Bob - News
2004-06-29‎urlLink Frequence3 -- Premiere Webradio Francophone -- French Webradio live from Paris, France well cool radio station
2004-07-12‎urlLink GRAND THEFT AUTO : SAN ANDREAS   Excellent news about this cool game. If u want more information, chk out the  latests play (official uk playstation) magazine. I will add update later on... Contact me if u want some top information about the stuffs in the game.
2004-07-31‎urlLink .:: i-Phone Network ::. :: Index  a popular phone resource it has everything u need to unbloack phones to repairing it
