date‎text
2004-05-13‎The sum of all fears is the biproduct of complete faith in self. urlLink
2004-05-12‎Of Oxymorons:   This IS subjective urlLink
2004-05-11‎urlLink    I am a shade of crazy, a variation of the pure element urlLink
2004-05-11‎A book speaks thousands of words, but you must read the whole thing to understand it. A picture speaks a thousand words, but you must know the context for the truth. A question seeks a thousand words, but often is dissapointed with denial or disatisfactory answers. A statement is a thousand words and is always concise to the author, but nobody wants to hear it.
2004-06-29‎urlLink    the author  -To God be the glory
2004-06-27‎urlLink    All for one........  -To God be the glory
2004-06-19‎urlLink    I've passed by these pews for 17 years, and only thought of this composition a few weeks ago.  -To God be the glory
2004-06-17‎"As the shadows creep along my L shaped desk and the night air is finaly cooling off in the blackness outside, I am starting to grasp that summer is here.  I will wake up in the morning, and I won't be going to school.  I'll turn in my bed as the sharp rays of morning light attempt to convice me that it is a new day, a day full of time that I can choose to spend, or waste.  I would like to present you all with a challenge:  Look at everything differently.  I've had a few people talk to me about ""creativity,"" and that they could never see something the way certain people can, I encourgingly disagree.  Being creative is not something a person is born with, it's a choice to make the most of what you have.  The principles in this have spilt over all areas of my life, leaving long stains of color and diference.  Choose to see things differently.  Sometimes the best way to start is to excercise the mind. Close your eyes, point to a random location, open your eyes and think of five oberservations about that object.  Even if you point at a wall, there are more than five oberservations you can pull from a wall.  It would be my desire that nobody could say about this summer, that they were bored, there is always something to do, something new to see, strengthen the brain.  -To God be the glory"
2004-06-17‎urlLink    It always amazes me to see how much ordinary situations can become canvases for inspiration. urlLink
2004-06-06‎Forward thinking comes from improving what you see when looking back. urlLink
2004-06-06‎urlLink    The actual location a picture is taken, is the destination.  What the picture becomes, ultimatly what the photographer sees, is the drive there. urlLink
2004-06-06‎I hereby coin the term: Emotional Theory of Perpetual Motion.  These are character traits that only bring about more of that emotion.  Traits like worry, fear, sadness and lazyness all fit in the ETPM. urlLink
2004-06-06‎I find it amusing when people rebel for the sake of fashion.  I do not condone rebeling under typical situations.  However, I beleive the current issue with teenangers like myself, is not to cure their anger, but to reveal the dilusional mask they attempt to wear when they stereotype themselves into the categories they have been privelaged not to become as a default. urlLink
2004-06-06‎There is a song for every mood, but every answer is in a verse. urlLink
2004-07-19‎urlLink    Just an image that my mind saw....  -To God be the glory
2004-07-07‎urlLink    It's the little patriotism that shows you the land that you love.  -To God be the glory
