date‎text
2004-06-23‎urlLink    james is such a pimp urlLink
2004-06-22‎urlLink    evan... urlLink
2004-06-22‎urlLink    i miss casey! urlLink
2004-06-22‎urlLink    get out of my face urlLink
2004-06-22‎urlLink    people just show up at my house...?? urlLink
2004-06-22‎urlLink    ...no comment urlLink
2004-06-22‎urlLink    me n my puppy! urlLink
2004-06-22‎urlLink    justin me alex n buck...we flipped tha boat n had to swim home lol urlLink
2004-06-22‎urlLink    god that was a long time ago... urlLink
2004-06-22‎urlLink    london bridge urlLink
2004-06-22‎urlLink    our matching hats! urlLink
2004-06-22‎urlLink    tha after party urlLink
2004-06-22‎urlLink    ambers so happy to see me! urlLink
2004-06-22‎urlLink    sexi justin from the beach urlLink
2004-06-22‎urlLink    check out our ride urlLink
2004-06-22‎urlLink    justin n logan...sexi sexi urlLink
2004-06-22‎urlLink    my brother fell asleep on tha couch...:) urlLink
2004-06-22‎urlLink    me n dani at tha beach!!! urlLink
2004-06-22‎urlLink    before tha dance...dont i look happy urlLink
2004-06-22‎urlLink    eating on tha couch! urlLink
2004-06-22‎urlLink    sami joe posing in the kitchen! urlLink
2004-06-22‎urlLink    sami n kalei...can u see the christmas tree in the background??  urlLink
2004-06-22‎urlLink    kalei standing side wayz cuz i dont know how to flip tha picture urlLink
2004-06-22‎urlLink    sexi sexi urlLink
2004-06-22‎urlLink    dosent sami look lost? urlLink
2004-06-22‎urlLink    michael at graduation urlLink
2004-06-21‎well this weekend was fun! first...sami n kalei spent tha night n we drove tha car...rode tha golf cart...played pool...watched the sex talk with sue :) ...and then we invited logan n justin over, and when we went to pick them up they wouldnt get in tha car!!! ugh i was so mad at them! and then...me n kalei went to sami's house!!! we went to her brothers house n ate...and they have the cutest kitty!! when we got back to sami's house we cleaned so we could go to the pool the next day...and that night i pierced my ears again!!! ouch! we woke up...went to tha pool...and NO ONE was there!  on thursday im goin to tha beach so if ya wanna go with me let me know! luv yall!
2004-06-15‎omg drivers ed is the most boring thing in the WORLD!!! it is 6 hours of HELL!!! n it lasts all week! omg i cant wait till its over!!! AND I GET TO DRIVE IN JULY!! YAY!
2004-06-13‎"i havent wrote in here in a couple of dayz cuz i have been at tha beach with danielle!!! we had so much fun! we hung out with this guy adam...his parents didnt like us too much but we had fun with him lol...we ate pancakes all weekend!!! (cuz my mom didnt feed us) and my mom brought a friend to the beach and she had crabs so her name is now ""crab lady"" lol...we tp'd tha porta potty on my street...and we went swimming...and now im going to sleep luv yall!"
2004-06-10‎today i went to tha mall n i got 2 shirts...2 pairs of shorts...and i got my nails done at the nail place!!! then...i went to my softball game against sami's team n they called it off cuz it was stormy :( and now danielle is sitting in my lap lol and tomorrow we are getting up early n going to the beach!!! o yes we are gonna have so much fun! pickin up guyz...goin porterpoty tippin...lol all kinds of great stuff!!! on n today i found something out about someone *caugh* cesar *caugh* ne wayz...idk when i'll be updating this thing so c yall when i get home! luv ya babe! ~addie n danielle
2004-06-09‎i went to a friends pool today and the water was so0o0o0o COLD!!! but it wasnt too cold out side n i gotta sun burn and now my arms are red and they burn :( and thennnn...i hadda softball game at zebulon and we beat them 11-0 so we are still undefeated!!! after tha game i went to a place to eat n i gotta pink balloon!!! tomorrow im goin to tha pool so EVERYONE needs to go!!! c yall later...
2004-06-08‎i woke up at like 12 today and watched tv...lots of fun...!  my brother had a baseball game at k-dale so i walked over to watch the older guyz play.  cesar n tyler were on one of tha teams.  I saw timmy there n he showed my how to eat sunflower seeds lol
2004-06-07‎Today i sat around tha house n watched tv...it was sooo boring!! i wanted to go to tha pool but my mom had to work :( i wanna go tomorrow but...i dont gotta ride :( i hadda softball game today against wendell and we won 18-0!!! oh yes i played 3rd n 1st base...i made 3 outs and had a good hit n got home!!! my next game is wednesday at zebulon so everyone come to my game!!! well thats all for now...
2004-06-06‎well this is tha 1st day of tha blog! i had a really hard time doing this and i even had to get help from mr. deal!! today was pretty boring...but the other day i got 2 phone calls that made my day! i hope my life improves cuz its not going to good right now! I think im takin sami joe to tha beach this weekend but im not sure yet cuz she still has to ask her mom if she can go.  I got my report card the other day n got good grades considering all the makeup work i had to do from when i got suspended...so i guess i'll be in 9th next year! (at k-dale hi) i hope i see yall there! i love all of u so much! ttyl
