date‎text
2004-05-30‎Mood: bitchy Music: Float On - Modest Mouse  Ok. What's fun for me on a Sunday. Sitting around on the computer all day. Yes. Not going up into the mountains to have some 'Fun'. Hehe... Fun? Puh-Leeze.
2004-05-29‎Mood: tired Music: The Almond Brothers - Bluesky  Ok, what to say. I woke up, and then played Diablo II all day long. Seriously. Then the car spewed smoke everywhere around 5 o' clock... But nothing really else to say. I played Diablo II all day..
2004-05-28‎Mood: groggy Music: Jingle Bell Rock  Boo. I'm back. What to say so far? It's 11AM, and nothing to say so far... the dog started barking at about 4AM... so, I woke up then. then i watched TV for several hours. then i ate breakfast, came in here.. and yeah.
2004-05-27‎Mood: Calm  Yo, checking in again for the day.  It's 9:53.. And yeah. I found some cool stuffs.  http://www.filespace.org/_monster_/midi.midi  ^Nice song  And... I forgot the other one =P
2004-05-27‎"Mood: Cheerful  Music: Roger Whitaker - Ding Dong Merrily on High  Yo, this is just the beginning of the blog; So... I'll talk about day 1.  I woke up, dog was barking.. I had to deal with that. When I was done with that, I watched some show... Starting Over... It's part of my ""Lesson"", somehow. But after that, of course I went onto the computer. Hell, I LIVE on my computer. But anyways, I went around BHZ's, and Nintendo.com forums, The new N-Advanced, and a lil' bit of KRR and MW's. But anyway, we had somewhat of a party last night, no big deal, same ol', same ol'. Nothing really went on, they left around 10. Which is weird because they were gonna' stay here instaed. Oh well, 24 year olds will be 24 year olds. So... Bye.  Forgot, here's a link to my forum. =P  http://acn.3.forumer.com"
2004-06-30‎Mood: Cool Music: None  Here's a little pic I made:     LET THE TRUTH BE REVEALED
2004-06-27‎Music: The Pillows - Stalker Mood: Hungry  Woah! I'm posting! OMG! Sorry I haven't posted in awhile. Yes, I'm in a bad mood. Dad's a jerk. Still don't have a mac. That's all. bye.
2004-06-27‎Music: The Pillows - Hybrid Rainbow Mood: Hungry  I made an iTunes playlist all of the pillows music. Looky
2004-06-26‎Music: Modest Mouse - Tralier Trash Mood: Great  I'm back! Again! Yes! Posting! Yes! Again! Okay!
2004-06-24‎Mood: Achey Music: Truckin' Jam (30 min) - The Grateful Dead  Yep. I'm back. Back in black as they say... I guess I majorly pissed off the people over at BHZ's, so, I'm staying away for as long as it takes... I'm staying off AIM too, so I'll be out of contact. Yesterday went fine, until I smacked my forhead on the ceiling... It still hurts. My cousins came yesterday, and we had somewhat of a party. I turned off all the lights at about 1AM and said that's what it's like inside Marylin Manson's house in braud daylight. But anyway, I pissed BHZ's off, I banged my forhead... Can this week get any worse!?
2004-06-21‎Mood: Exahausted Music: Alright 4 2nite - Strong Bad (Wait a minute... wtf?)  Tired. Yes I am. Nothing went down today. (Wow, how many times have you heard that?) I'm falling asleep as I write this, so I'm just gonna' stop before I break something.
2004-06-20‎Mood: Frustrated Music: Commercials  Happy Summer Solsitice everyone. I had to remove the backround music since my bandwith was being slapped... In other news, (as I always say) I actually woke up early! I woke up about an hour ago at 6:45 or so... So, today might actually last awhile and be good! *jumps for joy*
