date‎text
2004-06-24‎heyys..starting a new bloggie here cuz diaryland is full of shit..keeps on telling u to upgrade to gold membership...anw..so as i'm not that good wif html..so i aint gonna do some fantastic template..mayb if i ask chris..yea..  the past few days hav been slighty beta than b4 i guess..but the holidays are coming to an end..dam..hmm..on tues it was like all hell let loose..the contractors came to renovate the bathroom..and i had to go for a dental appointment in skooL..everything was dam rushing..anw me dam fed up..cuz in the first place we dun hav to inconvenience ourselfs by renovating the bathroom...we had to do it cuz the neighbour downstairs was complaining...bLoody bugger...anw tim smsed me to go to the gym..too bad cant make it..really sorry man...i would hav wanted to..but u knw the renovation shit..had to stay..one of these days when i cant take it anymore..i'm gonna sort it out wif that bugger downstairs..=X so went ta skooL..end up playing bbaLL..den went fer lunch wif sebas and youying..i din bring money..haha..so toLd them i was broke..end up sebas treated me to lunch la..cuz that ime at ramen ten i treated him to soft shell crab  and a bowl of ramen i think..btw...ramen ten sux..trust me..u dun ever wan2 go thr..me and sebas eat already almost 50 bucks..and they charge service charge and gst...but it looked like fast food to me..does macdonalds charge service charge? hmm..mayb if i took the ramen myself and poured my self a glass of water...mayb they could waive it huh? anw..after lunch me went back...to supervise the workers..well..at nite went to da ritz..hmm..food was ok..but i tot it was beta the last time i went there..anw..so settled down..got some cod fish..not bad i tot..but the ostrich meat was beta..got a few portions..me ordered a gLass of champange too..cant remember wad year it was anw..so when bill came..haha..lucky its not me who paid..the times b4 also not me..it cost bout 40 for each adult and 30 for a child..so total was 150..arnd there..den still got that gLass of champange..25..so it was almost 200 after adding 10% service charge and gst..yea..funny thing was that pam called me on my moibile asking me to bring water fer her..loL..she told me she was at nus..tamesaek haLL..told me she was stuck there..with NO water..haha anw..i toLd her couldnt make it..dunno whether she upset not..  wed..up and early..but workers came at 9am..woa..went out to take a look..dad left earlier in the morning for hk..anw whole day was kept in to supervise the workers again..finally could go out for lunch..den went back got changed..went for my sis's concert..ok it aint her concert..she's jus performing in it..went to wadeva jubilee church or something..their auditorium reminded me of the raffles auditorium..veri nice..saw them havin dry runs of the perfomance..den l8r had to go out...den go in again with the tix..sat down..den saw a plump lil figure..hmm looked familiar..den saw benjamin in front of tat figure..and i guessed it to be jareeL..and i was rite! loL. after the thing den went home...  today..was woken up by the call frm the contractor..well well..for once they were on time..at 9am sharp..den they got on wif their work..at arnd 11.30am..mum came back..den went out fer lunch..supposed to be at jack's place..but..it was closed..for good..apparently the pLace went bust..so no choice..ate at the chinese restaurant beside it..food was not bad..had lobbies and crabs...and yea the fish was ok too...total cost was bout 100bucks..cuz we ordered twice the crabs..so ended up had to pack home..so guess tt's bout it fer the past few days..skooL hoLs coming to an end..=(
2004-07-29‎got my new phone...hehe...so took these pics in kLass today...=)   urlLink    sebby+nasri+ajay...=) in class urlLink      urlLink    youying and nasri trying to kiss...hmms..seems like a correct position though...=) urlLink      urlLink    mrs chong in class teaching...sianz.. urlLink      urlLink    haja in the avt givving out worksheets... urlLink
2004-07-25‎"jx is totally my saviour...almost as good as the sweet lord jesus...but then again..no lar...did not mean than kies *points to the big man up there*^   anw jx rox cuz he helped me find the track: slide along side by shifty...woot~ jx should be made a demi god...or a semi god...at least he's just a great guy...yea..   past two days have been ok..so-so...been re doing my physics read and share...change topics again...lolz.   and thanx to xiao ling for sending me the er...""not so cLear version"" of qi li xiang...hahax...but thanx anw...but much more thanx to yaoyong for sending me the clear version of it...it totally rox..once again..jay has proven himself...its a great song..like all his songs are...two thumbs up...=) hope to get it when it releases...   and my mp3 player finally caved in...there's a crack...but i dont know where...i just know because i can see an ant running across the display...and i cant squash it...that means its inside the mp3 player...and for it to get there...that would mean that there's a crack...damn...   past 2 nights have been eatingcrabs...last night was butter crabs...just now ate chilli crabs...(-_-"")...   have been repeating ""qi li xiang"" on my cd playerfor the past 2 hours...the more i listen to it..hmms..the more i cant sleep..wonder why...but it has a really great tune...   anyway got some stuffx want to say...but jus cant...yea....hmms...nitex~"
2004-07-23‎urlLink    this is graffiti by the artwork rebeLs...real cooL....hope more peepx will grow to like to graf too...=) urlLink
2004-07-20‎"have not been updating recentLy. but past few days have rocked. find that life's better without a handphone...it takes away so much of my time...lolz..   anyway had napfa test today. woa...sucked man..yea. still cant do pull up..lolz. celebrated racial harmony day today as well..supposed to be on wed..but somehow the school made it to be today. appeared in this frumpy outfit borrowed from amirul..lolz..i looked likea great big ketupat in it..(-_-"")...but still must thank amiruL for bringing it for me..yea. then the student council and some classes put up some dances or performances at the front of the carpark..but we were at the back..so did not bother to listen or see them...eric and gang sang this really twisted versionof ""lemon tree"" which the student council were singing..lolz.   we also saw this man at the opposite block at the roof..looked like as ifhe wanted to jump down...so we started waving and shouting at the man...but got shouted at by the vice principal instead...=( anw later found out that there was some kind of construction going on there..cheh...anw later went back to class and played""magic"" tcg...its fun..better than marvel at least..so maybe want to try that out at a later time..oh yeah..we took a class photo with mama chong too...all in our outfits..was great fun...hahax...push here push there...lolz..like lil kids..yea anyway was acooL day...ciao~"
2004-07-20‎damn didnt go for king arthur...cuz the screening was at 4pm. so went to play cards instead...=) today's emaths test was ok lar...not too bad until wanna fail liddat..at least the studying paid off..yea. hmm...but after studying..i always leave my table in a big mess..and i still wonder why i have 2 bottles of L'orÃ©al fx water..hmm...anw check out my table...ok i'm lame. dont look if udont want to..=) anw will try toput at least a pic in each of my entries..this is gettingkinda fun..=)    urlLink     messy...uh oh..=( urlLink
2004-07-19‎back again...dont have much time to blog anyway...cuz of tmr's maths test..havent finished studying....=( have added some new stuff to my blog..hehe..thankx to weiyee for teaching me bout the links thingy..yea..thankx! hmm also added a countdown counter till the end of year exams..hope to motivate myself somewhat....yea..and also learnt to how to post pics...but too bad my handphone is missing in action..or else can photo blog..hahax..yupps~ anw will update more tmr after finishing my maths test. hopefully going to watch king arthur tmr after school...yea. ciao~
2004-07-18‎urlLink     s.h.e rawkX my worLd...=) urlLink       urlLink     s.h.e... urlLink
2004-07-17‎"on tues there's a emaths test. hmm..hope can score well...but hoping aint goin2 get me nowhere...better study..yea..anw last night finally found the time to write testimonials for my pri skooL frens...hmm...feLt that we are all split up now...although have each other's msn contacts but don't really keep in touch...Missed the old times together I guess...In pri sch...jus played and did not hav a care for anything else in this world..yea that was a good childhood...well its over now...sad*    anw last night was discussing the rules of a new tcg...in fact its based on anderson. yea all the sucky things about anderson..and us of course..into one card game. heh. sounds fun but its really hard to create too...eric was brainstorming with ajay and meabout what to put into the game and what not to. well...hope that this takes off. but with only 73 days to the final year exams..i guess this hasgot towait a bit...hmm...not sure why now suddenLy motivated to do well..hope its not goin2 be a cold start...can already hear my paLs saying ""yea right ron""..ugh..wth...nvm.    goin2 to be more hardworking than before.hopefullycan pass this year. yea. hmm...tues maths test is goin2 be the starting point. hopefully i can jus pass, that's my present goal. then work my way up hopefully.hmm...gonna have to work out a timetabLe. but as usuaL i dont think i'm gonna follow it. might as well jus complete my homework everyday before i can manage anything else. hmm..mama chong would be very happy to hear this i guess...hehe.    this entry is turning out to be resolutions for myself...but its good to have goals right? the past 3 weeks have been jus fooling around with no goal. yea. goin2 work hard...i will accomplish this...hopefuly. ciao~"
2004-07-16‎jus changed the template to a one tt's easier on the eyes..all bLack.
2004-07-12‎heyys~back again...    good days there hav been past...but no oracLe knw's wat lies forth in wait....    yea..anw jus made that^ up so dun bother bout that...i'm not deLusional...yet. yea past few days hav been marveL non stop over and out..cool..played till 7pm yesterday..wth..yea...and discovered that thr's only 74 days more to the finaL exams..damn it...this is like totally shit cool...feels like the end is near...anw have been thinking bout wat mrs hyun my chem tch told me..seems that kk quit the game...yea..sad..although i din realliz knw him well...but at least we are in the same situation..but now its like i'm the last man (or boy) standing...anw to those who dun understand wat i'm talking bout..dun mind me...        my life's a total mess...yea..i'm hopelessly lost in maths..feels like i wont ever understand that subject...and i tink i nvr will unless i start practising on some maths problems soon..yea...anw i'm not rant on maths down here..yupps~        hmm...yea today in chinese kLass was way cooL...jus sat arnd and slacked...chinese's getting really screwed up...cant seem to learn a thing...seems i hav to reorganise my whoLe life asap...but how...i hav no idea...at all...mayb i shLd jus get the fu*k out of my life....go die lar...tt's how i can runaway...but mayb not, cuzi'm scared of death...and its a sin to commit suicide..yea..shLd face my probs in life..but how....if only someone can teach me...mayb god..but nah...not a really religious person at all in the first place...        what's more the new latecoming d.c system is really killing..now i owe the school three or six dc sessions...two hours per session...hav no idea why...the very fact that so many people come to school late shows that maybe it's the time that's set too early...and not that the people come late...wtf..hmm...btw any1 has sLipknot's latest album...hopefully someone can lend me that album...or maybe i shld jus buy it myself....wth i'm answering my own questions already...i'm gonna lose my sanity soon...most probably i've already lost it..yea...going to have to reconsrust it back....so many probs..so little time...        this is bad...really bad..have had too much fun in my life so far...now its time to pay it back i guess...better get down to some serious studying...no more fooling arnd...listened to limpbitzkit's results may vary,again today...helped to destress a bit...but not much...*being entraped in the reality and dimension we call life*        =wait and bLeed=
2004-07-12‎"hmms..these few days hav been beta i guess..been trying out marvel vs at the new card shop in yishun..it totaLLy rox..dunno y now then discovering my love for the game..i knw peepx will sae its childish..but its good cLean fun..so wats wrong wit that..=P  anw sunday din go to church as usual...den went for tuiton in da afternoon..sun veri hot..ok i'm an official faggot..cant stand a lil sun..heh. after tuition went to meet my mum  at suntec..had dinner..den went home..  today was late fer sch..damn...muz do dc tmr..probabLy hav to do it..cuz now thr's this new latecoming system...sounds really lame..here goes:   1.first time late. excused without d.c...(basically means aiya late fer one time nia..no biggie deaL)  2.second time late. 2 hr dc given. Parents contacted. Plan how not to be late.(wtf. this is serious)  3. Third time late. Parents asked down to sch. compulsory counselling by sch counseller.(hey man..jus late aint mean i gotta see the shrink rite? but heard tt's it nice..so mayb can go thr..taLk cock a bit wit esther tan..grab a few cookies and drinks...get outta there in bout mayb 2 hrs? yea)  so this is lame...latecoming system..this sch is seriously screwed..hate to say this though.. anw today's lesson mrs chong aka ""mama chong"" was kinda in a bad mood..shouted at people for not taking out their graph paper fast enough..sad..after that was sLack all the way man...chinese,social studies, history..but den was chem and physics...whoLe of physics was looking at the spoiLer list fer marvel vs. wah so many cards..not sure wat to put in my deck..  anw after sch gathered sebas,fariz,yaoyong,ajay and me...goin to the card shop at yishun..den bohui came along..we din want him along..so we tried to shake him off lar..managed to do so successfully...den while walking to the mrt station..we tot we saw him in the distance...ran like crazy..turned out to be aizat and nanthini...lols..den we all went fer lunch at macs..den went to the card shop..well...ajay bought 2 precon decks the dumbass bastard...waste of money...might as well draft rite..anw den yaoyong lost 20 buckx...we all tot is was ajay...so now he has to pay that 20 bucks to yaoyong..dumb rite? after that went to fetch my sis..btw..these few days darius frm church has been pestering me to get fer him his crush's email who's in my sch...so darius..if u are reading this..please please stop pestering me bout it k? thankx! ciao~"
2004-07-08‎"update. hmms..haven been updatin lateLy. bout since my handphone was stoLen...now den i reaLise how impt my hp was to me lar..cuz depressed over it..it was like part of ya knw..well..mayb i shLdnt get emotional..cuz emotions are a sign of weakness. heh. yea anw..its stupid anderson's fauLt..not mine tt it's gone. fu*k it anderson. anw the dumb skooL pressed me to make a poLice report. turned me against my fren. and i'm not getting my phone back. and the skooL can say that the poLice are investigating. so they cannot claim resposibiLity. wtf. so it has come to this. anw i dun care. hopefully can get a 7610 by the end of next week. yea.  so the past 2 weeks hav been bad..din sLp on most nitex. jus couLdnt sLp...drank too..and my kLassmates hav been laughin at me being phone-less...wtf. yea i bet a lot of ppl in church are happy to hear bout this i bet. hah. anw its jus a phone no biggie deaL. gonna get a new one. anw today was great..best day since i lost my phone. btw my phone has a name..it's called ""michelle""..nice name? i dont knw..anw yea today was the best day since i lost ""her"". so today eric brought this nazi fLag to skooL for his history presentation..looked cooL. yea..den social studies the infamous five..namely ajay,eric,shawn,bohui and yes lastLy..me..planned to sit together so as to piss the shit outta mdm neo. in case u peepx aint heard of her..she's this demented, sick and possibLy abused when she was a child woman..who's sadistic and crazy. anw eric and shawn were drawn away by ms zaleha..but ajay was the one man anti neo machine..criticised her pLenty..but she pretended not to hear..yea..anw was not a success today cuz we din get her hopping mad..damn...mayb next time..ciao~"
