date‎text
2004-08-05‎urlLink    mmmmm....dream car urlLink
2004-08-05‎urlLink    mmmmm....dream car *orgasm* urlLink
2004-08-05‎ooooh i'm so mad...my dad approved the guy to fix my car and my dad thought it would be $2-300 but it turns out it's F*#$ING $700!!!!!! and thats not even getting it registered and crap, and they expect me to pay my own insurance, i only have $670 so my dad HAS to fork over some money...and i found out my parents are selling a couch to get my brother a drumset, why the hell does he get a drumset and i dont get anything for a car?
2004-08-05‎YEEEESSSSSSSSS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  my dad just informed me my car is now fixed and i just need to buy a battery and go pick it up tomorrow!! I HAVE A CAR!!! FINALLY!!!! and i wont be broke because it will only be $2-300 instead of $600! YAY!!!!
2004-08-05‎I've been really bored lately, i think it's because i dont have a job anymore but i dont know.  I dont want a job, i just want to be lazy forever.  Wouldn't it be cool to be one of those people who win a billion dollars so then i would actually be able to be lazy FOREVER!  The chances of winning is 1 in a billion though so i guess i'll forget about that one.  My new decision in life is to be a doctor of some sort (dont laugh, i really do get decent grades) I dont really know what kind of doctor, maybe a surgeon?      Theres this one song of Smile Empty Soul that is the exact same thing of something i wrote...same damn notes and everything, wouldn't that piss you off?  Well at least it shows that i have the potential, i just have to be lucky as hell (i dont think i'll get anywhere though, so dont worry)...stupid smile empty soul.    There is also this girl talking about me on her xanga and commenting on mine and they know me and riley and i'm so confused!!!!! I know they're just messing with me but whoever you are, you better tell me before i freak out. (http://www.xanga.com/home.aspx?user=chickadee_3   is the site that this crazy person is talking about me on) I'm freaking out because they claim to be 17 and they just went on vacation but i dont know anyone to fit that description.  They also think i have red hair BLAH I DONT KNOW WHATS GOING ON!!!!!!!!!
2004-08-05‎urlLink    I'm going to be killed for this urlLink
2004-08-05‎urlLink    Napoleon and Pedro urlLink
2004-08-05‎This movie is the most ridiculous and stupid movie ever created, but the funniest.  Napoleon dynamite is a nerd/loser/retard that plays every nerd you've known all combined into one.  I've never laughed at a movie so hard in my life and is definately worth sneaking into.  I got to see it free because riley's brother had free tickets to a sneak preview showing thinger.
2004-08-05‎urlLink Napoleon Dynamite   These are some video clips from Napoleon Dynamite
2004-08-05‎what would you do if you could erase one's memory? I think i would have fixed things in some past relationships, or you could do something horribly hiliarious to someone and they wouldn't remember a thing about it.
2004-08-05‎urlLink    heh heh heh urlLink
2004-08-05‎urlLink    Me at Mount Rushmore...that was actually pretty boring urlLink
2004-08-05‎i get to hang out with mandi and whitney today and i haven't seen either of them for a year or five....cool stuff
2004-08-05‎I can't give what I take away and the other understands she said she'd be my woman she said she'd be my man I can't live this way please refill my soul  don't have a nickel or a dollar but you feed me my bottle's empty but you always refuel me I feel I'm sinking but you won't let me drown me I wanna fuck, wanna fuck but do you need me?
2004-08-05‎urlLink AXIS OF JUSTICE
2004-08-05‎urlLink    My Beautiful Guitar urlLink
2004-08-05‎Alright, lets get this blog thing started.  I really don't have anything profound to say at the time so i guess i'll get back to this later.
2004-08-05‎urlLink    A picture Haelee drew of me hehe urlLink
