date‎text
2004-08-20‎I got Kakashi on this quizz, and it's great 'cause I love that character!       urlLink Which Naruto Character are You?  quiz by  urlLink orangeday.net
2004-08-18‎urlLink    Some of the greatest artwork I've seen!! Evangelion, Angel Sanctuary and Naruto!  by Kokoro
2004-08-18‎Well, as now, I have all the subjects that I'm going to take this semester, and here they are: Spanish Math Social sciences Introduction to sciences (physic) English chemistry ethic and values  I hope I do well in all of them!!
2004-08-16‎urlLink    It's true!! Rock Lee ROCKS!!  by Kokoro
2004-08-15‎urlLink    El dia de la graduacion... a mis amigos... los voy a extraÃ±ar mucho!!  by Kokoro
2004-08-15‎Hoy fue mi primer dia en la preparatoria del Chamizal, y puedo decir que fue seriamente decepcionante...  Estoy en el grupo de 1F, y no podria ser un grupo mas aburrido!! Las primeras horas las tuvimos libres, y fuimos los unicos, y uno supondria que durante ese tiempo los demas tratarian de socializar, pero no!! Todos callados solo platicando con el que estubiera mas cerca   Los profes que SI fueron a dar clase fueron Velia, Ricardo y Dayer. Los tres dieron un laaaargo discurso durante toda la clase, y fue bastante aburrido.  Hasta ahora no me ha impresionado esta escuela... espero que mejore maÃ±ana :)
2004-08-15‎MaÃ±ana va a ser mi primer dia en la preparatoria del chamizal, aqui en Juarez... Para decir verdad estaba emocionada hace unos meses, ya queria entrar y conocer a nuevas personas, pero ahora la verdad solo tengo flojera! Me da pereza pensar en las tareas, nuevos maestros, libros, materias!! AAAAHHH!! Creo que estaba mejor en la secundaria... voy a extraÃ±arla, en verdad ;)
2004-08-14‎"urlLink    Halle Berry ad ""Catwoman""  by Kokoro"
2004-08-14‎"Today I went to see the Catwoman movie with Halle Berry, and it was interesting.. This character, to me, seemed more human than others like Spiderman, Batman and stuff like that; I think it was because of Berry's performance, she was really great! Although I wasn't so crazy about the outfit, she could pull it off! I think she could wear a sweatshirt and she would still look hot. In the movie she looked so pretty! Even with the short hair and leather pants, she looked amazing. She stole the entire movie! She even outstood Sharon Stone and that's a lot to say.  Overall thougts, good movie, great performance of Halle and a new perspective of cats...(Even if I'm allergic to them hehe..)  ""A girl like me, lands on her feet"""
2004-08-14‎urlLink    Yondaime 4th  by Kokoro
2004-08-14‎urlLink    This is my current desktop theme, it's inspired in Konoha's Beautiful Azure Beast, Rock Lee!! He's one of my favorite anime character's ever!! He had little talent in being a ninja but he tried his best and became a *taijutsu especiallist!! *(Hand to hand combat)  by Kokoro
2004-08-14‎urlLink    Here's Kiba and his dog Akamaru, both characters from Naruto!  by Kokoro
2004-08-14‎urlLink    He's a character from Ultra Maniac  by Kokoro
2004-08-14‎It's been a while since I wanted to create a blog for my own, I belive writting down things that happen to you will be interesting and fun. My real name is Laura, I'm 15 years old and I live in Cd.Juarez, Chihuahua, Mexico. I like a lot of things, but right know I'm in some kind of anime frenzy!! It's crazy, I keep downloadig anime as much as I can, and I love it. Series I'm into right now: Naruto Aishiteru ze Baby Samurai 7 Sailor Moon Live Action Neon Genesis Evangelion  Cha ne!
