date‎text
2004-05-31‎urlLink    in memoriam...
2004-05-30‎urlLink    closeup of a bee in one of the rhododendrons
2004-05-30‎urlLink    a bee in one of the rhododendrons
2004-05-30‎urlLink    Me relaxing quarter of the way down Mount Monadnock. My feet anyway.
2004-05-29‎urlLink    Taken half way up Mount Monadnock in New Hampshire (The dots are people on the summit)
2004-05-29‎urlLink     Studying for finals is FUN!
2004-05-28‎urlLink    lush trees against a blue sky
2004-05-28‎urlLink    Picture of a drawing of mine
2004-05-28‎urlLink    just another crack in the bark
2004-05-28‎urlLink    spring cleaning and such
2004-05-28‎urlLink    Pile of legs at the Boston music trip. Great fun...
2004-05-28‎Here is a list of some of my favorite photos so far on this website in no particular order:   rest.   Me relaxing on Mount Monadnock   Closeup of a bee   In memoriam...   Cool picture of me in Bermuda    (Last Update: July 03, 2004)  -Tristan
2004-05-25‎"This is a photoblog (sometimes called a 'photolog'). A photoblog is an easy way to share pictures, with comments and such, on the internet. Most of the pictures on this blog are ones that I have taken or made, though some aren't. For camera I use a less-than-great Kodak CX4230 (2 megapixels). I'm hoping to get a much better camera as soon as possible.  Some hints/tips for my photoblog: - You can click photos for larger versions - Click the 'Comments' link at the end of each post to view and/or post comments. Feel free to post... - As the blog gets bigger, older posts are be archived. You can access them by click on a link in the archives. The blog is archived once a week.  Guide to categories: (effected) - Means that the photo has been drastically changed from it's original by means of effects in Adobe Photoshop. Though I do make changes to lighting and color, they are only to make the original photo look better, not to make it look different. (not by me) - Pretty obvious. For photos not by me.  If I have posted a picture that has you in it and you object to this, simply email me at  TristanG@Gmail.com  and I will remove or edit the picture.  Also, I am accepting donations. ANY donation that you make would be greatly appreciated. 5 cents, 50 cents, 1 dollar, more? It all is appreciated. Donations go toward a much better digital camera, so donations help toward making this website's content even better! If you enjoy this website, please consider making a donation! Just click this button:        "">    Enjoy and check back frequently! -Tristan"
2004-06-29‎urlLink    Here's what it USED to look like...Big improvement from this to below.
2004-06-18‎urlLink    Got my braces off!
2004-06-18‎urlLink    Saw Fahrenheit 9/11 on Sunday. Depressing, yes, but good.
