date‎text
2004-06-14‎urlLink    Ben in action! urlLink
2004-06-10‎Juzz wannna say that i am sorry if your picture isn't here.. well that's probably cuz you're too beautiful! Well this is juzz a few of the hundreds of pictures we have taken in camp so if u want more, purchase the camp cd!
2004-06-10‎Hey, what do u think of the pics? If i insulted anyone, im so so sorry... pls tell me if i did ok? thx!
2004-06-10‎urlLink    And the finalist for the best female are... urlLink
2004-06-10‎urlLink    And the finalist for the best dressed male are... urlLink
2004-06-10‎urlLink    Is that Puss in boots? urlLink
2004-06-10‎urlLink    'leng lui' very tired wor.... urlLink
2004-06-10‎urlLink    Presenting.... the 4 stooges! urlLink
2004-06-10‎urlLink    Troy's cell + Shanker's cell = overload of testosterone! urlLink
2004-06-10‎urlLink    Teens juzz can't get away from the camera, eh? urlLink
2004-06-10‎urlLink    Night fever, night fever... urlLink
2004-06-10‎urlLink    Pastor Tim engaged in a friendly chess tournament with a camper urlLink
2004-06-10‎urlLink    Cougar + Moose = VICTORY!! yea, baby yea urlLink
2004-06-10‎urlLink    What happened to the traditional proposal with the ring?? urlLink
2004-06-10‎urlLink    Camp comm. bonding moment urlLink
2004-06-10‎urlLink    5-second fame during talent time urlLink
2004-06-10‎urlLink    Our very own darth vader and anakin skywalker! urlLink
2004-06-10‎urlLink    How do you wash this goo off?! urlLink
2004-06-10‎urlLink    Victim of his group members! urlLink
2004-06-10‎urlLink    Teams cracking their brains for a debate during workshop urlLink
2004-06-10‎urlLink    The 'banana team' leading in worship urlLink
2004-06-10‎urlLink    This is how it looks like in the evening urlLink
2004-06-10‎urlLink    This is how it looks like from inside urlLink
2004-06-10‎Hi.. i noe the pics were suppose to be up like few days ago but u see the thing is i left my USB cable at my granny's so cannot upload.. sigh.. anyway, now that its here, feel free to comment ya.. :)
2004-06-10‎Yo peeps! wazzup?!  Youth camp 2004  was amazing! The pastor was so way cool. He totally connect with the youth! And the place was super cool, literally... u noe la up there in Genting, well actually we were in  Peacehaven . So here are a couple of pics for u guys to enjoy...
2004-06-28‎urlLink    aikz? y they not singing wan? urlLink
2004-06-28‎urlLink    so cute!! ;) urlLink
2004-06-28‎urlLink    sanzo, mickey, dasher, ultraman urlLink
2004-06-28‎urlLink    Our beautiful class! urlLink
2004-06-28‎urlLink    Kah wei, yen pei, sook kuan urlLink
2004-06-28‎urlLink    Thuva, azelah, hidayah and steph urlLink
2004-06-28‎urlLink    Ida and Mei Yee urlLink
2004-06-28‎urlLink    Liz, Kit Mun, Shalini and Mich. The 4 stooges! urlLink
2004-06-28‎Yo peeps! Wassup? Juzz thought i share a couple of pics of our very own classmates. You never noe how different people look when they are posing for the camera (hehe..)
2004-07-16‎urlLink    yen  kah wei urlLink
2004-07-05‎urlLink    ru ching  zhi xin urlLink
2004-07-05‎urlLink    khasnida, nelfi, azmira, amalina urlLink
2004-07-05‎urlLink    me, ida, micky, dashni urlLink
2004-07-05‎hey... in case u wondering since when did our class have a blog?! well, i juzz wanted to post a couple of pix of our classmates la.. no biggie.. so if u dun see urself, chill, dun get pissed off ya. i will upload it sooner or later cuz currently my server very slow.. pls tell me if i insulted antone or anything..k? aku berfikiran terbuka...
2004-07-03‎urlLink    our Thai fren and mandy urlLink
2004-07-03‎urlLink    mazzy, ida, mei yee and me! i look so unphotogenic... *sob urlLink
2004-07-03‎urlLink    yee bin and elmi... urlLink
2004-07-03‎urlLink    kanit and mandy urlLink
2004-07-03‎urlLink    steph and vidyah urlLink
2004-07-03‎urlLink    JAC!!!! u spoil nice pix!!! hehe... kidding... urlLink
2004-07-21‎urlLink    Kinda gothic don't u think? wait! is that goku??? urlLink
2004-07-19‎urlLink    Assunta's very own cosplay! urlLink
2004-07-19‎urlLink    one big family reunion coming right up! urlLink
2004-07-19‎urlLink    my 16th bday. can u guess where i was?? urlLink
2004-07-19‎urlLink    Ending of the show....nite nite! Cya next yr! urlLink
2004-07-17‎urlLink    Cultural dance urlLink
2004-07-17‎urlLink    second(or third?) cultural dance... i danced!!! damn cool wei... urlLink
2004-07-17‎urlLink    You can't really see but they're throwing some dude into the air... urlLink
2004-07-17‎urlLink    They all wanna go home... ;( urlLink
2004-07-17‎urlLink    do we look alike? urlLink
2004-07-17‎urlLink    yen, yien and von urlLink
2004-07-17‎urlLink    The cultural dance urlLink
2004-07-17‎urlLink    the drum performance urlLink
2004-07-17‎urlLink    They're all waving us good bye! *sob... well, there's always next yr! urlLink
2004-07-17‎urlLink    I'm sure by now u noe that i'm obsessed with those drummers..hehe..*blush* urlLink
2004-07-17‎urlLink    Kinda dark but, i can see!!! urlLink
2004-07-17‎urlLink    The drummers at Bon Odori urlLink
2004-07-17‎Hey peeps! welcome to my blog, juzz pix of me n frens and maybe a lil' abt me self... feel free to comment ya ;)
2004-07-16‎hey...not so many pix yet cuz must edit a few..patience ya..abt the sports day wan rite...i dun hv pix of hermine cheerleaders..anyone got? and if u want me to post any pix, or remove feel free to e-mail me. but if u send virus, i will make sure u will suffer so badly u wished u never did that!!
