date‎text
2004-05-29‎urlLink    Double Printing. These are obviously 2 different negatives. I took the picture of the tree by the other one (by the gas station), and the water rings by the grocery store. I was the first of all the classes to attempt this project, and it worked on my first try. urlLink
2004-05-29‎urlLink    Palm tree at sunset in Rosarito. It looks like a postcard image. urlLink
2004-05-29‎urlLink    Surf at sunset. urlLink
2004-05-29‎urlLink    This was taken on the beach at sunset by the broken pier in Rosarito.  urlLink
2004-05-29‎urlLink    I like this shot a lot. I like how the water looks very blue and the sky has the orange and yellow.  urlLink
2004-05-29‎urlLink    This is the bench my grandma like to sit and read at when she's down at her house in Rosarito.  urlLink
2004-05-29‎urlLink    This one reminds me of the Pirates of the Caribbeann. It's a pic of Britt with her hand on her rifle when we were in Mexico.  urlLink
2004-05-29‎urlLink    Telephone wire crossing outside my door urlLink
2004-05-29‎urlLink    Trees by my house at sunset. So pretty. urlLink
2004-05-29‎urlLink    Clouds and tree in Colorado urlLink
2004-05-29‎urlLink    Santa Sophia church at sunset. urlLink
2004-05-29‎urlLink    This is one of the first projects I got in my photo class. It was really easy; just bring in some things, put them on the photo paper and turn on the enlarger.  urlLink
2004-05-29‎urlLink    Kid on Merry-Go-Round. I was in Balboa Park when I came to the carousel. I was going to take a picture of just the horse, but then the kid got on...so I took the picture of him too. I got this into 2 art shows; one at my school and one at the mall...It didn't win anything, but it was there. I thought that was pretty cool. urlLink
2004-05-29‎urlLink    I took this picture last year when my friend, Suzy, and I were walking around school taking dumb pictures. It was a bad picture of a duddy flower, but it looks cool solarized.  urlLink
2004-05-29‎urlLink    No, this is NOT an evil moose-man. This is a picture of my cat, Pooch cleaning himself. Can you see it?  urlLink
2004-05-29‎urlLink    This picture doesn't look quite right to me, something about the way the light was shining on the lilly pads, or the focusing. I like it that way though... I'm not sure why. This was taken by the botanical gardens in Balboa Park.  urlLink
2004-05-29‎urlLink    I took this for a project in my photo class. 2 old men feeding pidgeons in Balboa Park. urlLink
2004-05-29‎urlLink    I took this on my walk home by a gas station.  urlLink
2004-05-29‎urlLink    This picture was also taken in Seaport Village.  urlLink
2004-05-29‎urlLink    This picture was taken in Seaport Village. They're just some ducks takin' a bath. urlLink
2004-06-30‎urlLink    And one more of those urlLink
2004-06-28‎urlLink    And another. urlLink
2004-06-28‎urlLink    Here's another one of those cloud shots I took in Mexico that I never posted. It was very difficult choosing a picture to put up for this challenge because I do like taking pictures of clouds so I have quite a few. I'm not sure if this is my favorite, but it shows the clouds and the sunbeams and the focus is on the water so...I dunno, I just like it.  urlLink
2004-06-28‎urlLink    A picture of the clouds I took out of the window without looking when we were on the freeway. urlLink
2004-06-28‎urlLink    And another out of the car window, not on the freeway this time though. urlLink
2004-06-28‎urlLink    And another of that urlLink
2004-06-28‎urlLink    My friend, Brittany, and her reflection.  urlLink
2004-06-23‎urlLink    Leaves. Kinda looks like some grapes to me.  urlLink
2004-06-23‎urlLink    The plants at the top of that fence urlLink
2004-06-23‎urlLink    And another urlLink
2004-06-23‎urlLink    This is a view of some leaves through the fence at my friend's house.  urlLink
2004-06-23‎urlLink    Here's one of just the petal I took a bit ago. It was the only thing I could think up for this week's challenge. I know a lot of people were doing flowers and whatnot, but.....too bad, this is my picture and I like it. So...yeah. The petal does look quite perfect to me.  urlLink
2004-06-21‎urlLink    Another... urlLink
2004-06-21‎urlLink    The stupid camera kept focusing on the wood behind the flower...I couldn't get it to stop urlLink
2004-06-21‎urlLink    Another diving shot. Tanya this time.  urlLink
2004-06-18‎urlLink    View of the trees by the pool  urlLink
2004-06-18‎urlLink    The water at the pool I was swimming @ yesterday.  urlLink
2004-06-18‎urlLink    Here's the same one of Pooch in the mirror,just more pretty. : ) urlLink
2004-06-17‎urlLink    The sun and clouds above the pool urlLink
2004-06-13‎urlLink     I think this picture diplays fashion because they are my new sunglasses I got at Pacific Eyes and T's and one place fashion still counts is at the pool.  urlLink
2004-06-13‎urlLink    Another short through my sunglasses, but at the pool this time urlLink
2004-06-13‎urlLink    My friend, Brittany going under urlLink
2004-06-13‎urlLink    Another diving shot urlLink
2004-06-13‎urlLink    Rion diving into the pool urlLink
2004-06-13‎urlLink    Water in the pool urlLink
2004-06-13‎urlLink    Pole down to the water urlLink
2004-06-13‎urlLink    Here's Pooch looking at himself in the mirror urlLink
2004-06-13‎urlLink    Shady, my FAT cat, drinking out of the bathroom sink. urlLink
2004-06-11‎urlLink    I got 2 this time!! urlLink
2004-06-11‎urlLink    And another...attempting to get some suga'! urlLink
2004-06-11‎urlLink    Yet another of the bird urlLink
2004-06-11‎urlLink    Here's another one with the backyard view through my sunglasses. It wasn't originally black and white, but it looks better that way. urlLink
2004-06-11‎urlLink    I've been a little obsessed with getting a good shot of the hummingbird. Clearly this isn't it, but it's hard! urlLink
2004-06-11‎urlLink    This is a picture of the hummingbird I got right as he was flying away. This shot looks like a journey for me because the bird is so little and the sky around him seems limitless. urlLink
