date‎text
2004-05-30‎urlLink    THAT ONE IS DEFFINETLY A KEEPER!!!! urlLink
2004-05-29‎urlLink    SOMEONE'S GOT A HANGOVER!!!!! HEHEHE urlLink
2004-05-29‎urlLink    HEY GUYS.... LOOK UP!!!! SAY WAZZ UP!!!! urlLink
2004-05-29‎urlLink    HEY GUYS..... HOW BOUT A LIL' SMILE 4 THE CAMERA??? urlLink
2004-05-29‎urlLink     JUST HAVING FUN!!! HIHIHI urlLink
2004-05-29‎urlLink    THIS WEEKEND IN GALVESTON!!! PIRATES BEACH!!!  urlLink
2004-05-29‎urlLink    CAN U SAY WOW??? urlLink
2004-05-29‎urlLink    THESE ARE MY GIRLSS!!! LEAVE THE HOTEL.... STRAIGHT TO THE PARTAY!!! FIRST PARTAY OF THE SUMMER!!! urlLink
2004-05-29‎urlLink    GET THE PARTY STARTING!!!!!!!! urlLink
2004-05-29‎urlLink    AT THE DOUBLE TREE HOTEL!!!! YEAH....... urlLink
2004-05-29‎urlLink    AWW....CUTIES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! BEFORE RON CARTER!!!!!!!!!!!!!!!!!!!!!!!!! urlLink
2004-05-29‎urlLink    GIRL POWER BABY>>>SEXY GIRL POWER urlLink
2004-05-29‎urlLink    BABY GIRLLL...I LOVE YA!!!!!!!! CAN I ASK U SOMETHING??? HIHI..... CAN I HAVE  YOUR BOOBIES?? :) urlLink
2004-05-29‎urlLink    YAYY...ITS SUMMERR!!!!!!!!!!!! urlLink
2004-05-29‎urlLink    THIS WEEKEND.... THURSDAY!!! YA BABE LAST DAY OF SCHOOL!!!!!!!!!!!!!!!!!!! IT WAS A LOOOOONNNGGGG YEAR!!!! urlLink
2004-05-29‎urlLink    I GOT A HAIR CUT! LOL urlLink
2004-05-29‎urlLink    AAAAAAAAAAAAhhhhhhhhhhhhhhh thats SOOOOOOOOOOOOO CUTEEEEEEEEE!!!!!!! FALL IN LOVE W IT GUYS!!!!!!!!  urlLink
2004-05-29‎urlLink    Go RedSkins!!!!!!!!! LOL urlLink
2004-05-29‎urlLink    Got the whole squad??? hehe Almost urlLink
2004-05-29‎urlLink    eeeeeeeekkkkkkk....wwe look like we're 10!!!!!!!!!! lol urlLink
2004-05-29‎urlLink    On the was to Hooters!!! Get some grub!!!! Haha urlLink
2004-05-29‎urlLink    Spring Game.... Awwww.... dont we look soo innocent!!! Hihi urlLink
2004-05-29‎urlLink    Clint and Daniel....Ahhhh....its good to be a Senior ahn?? LOl urlLink
2004-05-29‎urlLink    I Got to dance w the pimp!!! hehehe urlLink
2004-05-29‎urlLink    GIRLLL U LOOK AWSOME!!! .... CANT SAY MUCH ABOUT ME THOUGH...LOL....O well who cares??? Prom is almost over! urlLink
2004-05-29‎urlLink    WHERES ASHLEY BIRD?? urlLink
2004-05-29‎urlLink    THE ALCOHOL IS KICKIN IN!!! HAHA urlLink
2004-05-29‎urlLink    DO IT DOGGY STYLE! urlLink
2004-05-29‎urlLink    WHAT A PIMP AHN NICK? urlLink
2004-05-28‎urlLink    BRITNEY...GOT U TOO! urlLink
2004-05-28‎urlLink    FINALLY AT PROM... HEHEHE GIRLS... U GUYS ARE SWEETHEARTS... KATIE... WE'LL MISS U NEXT YEAR!! COLLEGE GIRLS RULE!! HIHI urlLink
2004-05-28‎urlLink    I DRANK IT ALLLL!!! LOL urlLink
2004-05-28‎urlLink    U GOT IT....NOW FRENCH KISS!!!!!!!!!!!!! LOL urlLink
2004-05-28‎urlLink    O HOW I WISH THAT WAS A REAL CIG!!!!!!HIHI urlLink
2004-05-28‎urlLink    AWWW JUST SMILES urlLink
2004-05-28‎urlLink    WE'RE PARTYING IT ON! urlLink
2004-05-28‎urlLink    THATS A GOOD ONE! urlLink
2004-05-28‎urlLink    hehehehe...... YA WE'RE DRUNK! urlLink
2004-05-28‎urlLink    Who wants to kiss a snake????????? urlLink
2004-05-28‎urlLink    The traditional Pic! urlLink
2004-05-28‎urlLink    ITS A HAPPY HAPPY DAY....OR WE'RE JUST TOO DRUNK! LOL urlLink
2004-05-28‎urlLink    mAn...I LOVE THIS PIC!!!!!!!!!!!!! GUYS THOSE ARE MY HANDS!!!!!!!!!!!!!!!!!!!!!!! DONT THEY LOOK PRETTY!!!! HEHEHE.....DAMN THANK GOD I HAD GOT MY NAILS DONE!!! urlLink
2004-05-28‎urlLink    So So CuTE! urlLink
2004-05-28‎urlLink    LoL...Calm down Burrows.... the food is goin no where!!! JK urlLink
2004-05-28‎urlLink    MmMmMm........Check out the food DuDe!!!! urlLink
2004-05-28‎urlLink    Before Prom.....just gettin started!!!! urlLink
2004-05-28‎urlLink    its PrOm!!!!!!!!! urlLink
2004-05-28‎urlLink    i wanna be the Maid of Honor Guys!!!!!!!!!!! HehE urlLink
2004-05-28‎urlLink    gO gO gO!!!!! urlLink
2004-05-28‎urlLink    iTS tHe whOlE gANg!!!!!!YaY urlLink
2004-05-28‎urlLink    gETTiN fUCkEd Up!!! urlLink
2004-05-28‎urlLink    YO BALLERSSSS!!!!!!!!!!!!!!! urlLink
2004-05-28‎urlLink    HAPPY B-DAY COLINN!!!!!!!!!!!!!!!!!!  urlLink
2004-05-28‎urlLink    The Partay doesnt stop!!!!!!!!!!! hehe urlLink
2004-05-28‎urlLink    Its the life of the rich and famous BabY!!!!!! urlLink
2004-05-28‎urlLink    Com'on.....already???? That ones passed out.... hahaha  urlLink
2004-05-28‎urlLink    My B-DAY!!!!!!!!!!!!!!!!!! ParTay at the InterContinental Hotel!!!!!! Its good to be a Model!!!!! Check out the guys we get!!! LOL urlLink
2004-05-28‎urlLink    05 yaa BaBy!!!!!!! urlLink
2004-05-28‎urlLink    Brownie..... SwEeTiE..... We're official PiMpS!!! hehe :) urlLink
2004-05-28‎urlLink    JohN CarTer!!! Dude... Stoned? Naw!!! LOL....hehehe I've got u on camera Too!!!! urlLink
2004-05-28‎urlLink    Thats a Keeper!!!!!! urlLink
2004-05-28‎urlLink    SMile Girls.... we're goin to the WC PaRtAy!!!!! uHuhUuu urlLink
2004-05-28‎urlLink    mY First Astros Game!!! Remember Carrie??? HehEhe... OMG.... how lame could i be??? LOL.... urlLink
2004-05-28‎urlLink    Cheerleading TryOuts SUCK @$$!!!!!!!!!!!! urlLink
2004-05-28‎urlLink    Wakin up early sucks ahn Coutney?? haha urlLink
2004-05-28‎urlLink    LOL...There goes a Giant Worm! urlLink
2004-05-28‎urlLink    WTF???????????? I AGREEE!!!!!!! urlLink
2004-05-28‎urlLink    OPSSYYY urlLink
2004-05-28‎urlLink    Hey there.... i cant be that DRUNK! urlLink
2004-05-28‎urlLink    we're having fun!!!!!!!!! urlLink
2004-05-28‎urlLink    hey Priscilla... We all know y your smiling now!!!!! hehehehe urlLink
2004-05-28‎urlLink    LETS GO W THE CHUCHU TRAIN! urlLink
2004-05-28‎urlLink    THIS PPL ARE FREAKS.... CHECK THAT OUT!!! urlLink
2004-05-28‎urlLink    LOL...... KILL ME FOR DOING THAT!!! BUT.... COM'ON ITS CARNAVAL!!!!!!!!!!! AND BTW.... ITS PLASTIC!!! HIS COULDNT POSSIBLY BE THAT BIG!!! LOL HAHAHAHAHAHAHAHA  urlLink
2004-05-28‎urlLink    WE'RE W THE CHICKEN!!!!!!!! urlLink
2004-05-28‎urlLink    Lets get the party startedd!!! CarNaVal...HERE WE COME!  urlLink
2004-05-28‎urlLink    CarNaVal in Austin!!! Partying w the UT crew!!!!! Crazy Nite! urlLink
2004-05-28‎urlLink    RaNdOm GiRlS nItE oUt!!!!!!!! urlLink
2004-05-28‎urlLink    Hot MAMAS Ready to ParTay!!! urlLink
2004-05-28‎urlLink    I'VE JUST BEEN PIMPED! urlLink
2004-05-28‎urlLink    YEAH...SLOW MOTION FOR ME AHN DANI? urlLink
2004-05-28‎urlLink    HOW CUTEE!!!! CANT BLAME ME.... I LOV YALL!!! urlLink
2004-05-28‎urlLink    HEY BABY!!!! SAY YA!!! RANDOM GET 2GATHER AT COLINS...THATS HIW WE DO IT! urlLink
2004-05-28‎urlLink    Michaels gonna Pass OUt!!! CANT HANDLE IT?? HEHE urlLink
2004-05-28‎urlLink    Sorry Chris... your tong is not long enough to reach my cheek!!! hehe urlLink
2004-05-28‎urlLink    HEY FRED... GOT THAT ONE ON CAMERA.... urlLink
2004-05-28‎urlLink    GET AWAY FROM ME... U FREAK! urlLink
2004-05-28‎urlLink    Just sippin on it! urlLink
2004-05-28‎urlLink    and it is! urlLink
2004-05-28‎urlLink    looks crouded!!!!!!!!!!!!!!!!!!!!!!!1 urlLink
2004-05-28‎urlLink    Ya,,, theres the alcohol!!!! urlLink
2004-05-28‎urlLink    say CHEESE DANNY! urlLink
2004-05-28‎urlLink    Enter the year with a beer on your hand and partay on your mind!!!!!!!!!!!! hells ya!! urlLink
2004-05-28‎urlLink    ya.... NICE PIC hihihihi urlLink
2004-05-28‎urlLink    Neww yearssssssssss!!!!!!!!!!!!! urlLink
2004-05-28‎urlLink    awww thats a cute one! urlLink
2004-05-28‎urlLink    Me and my mommy on Christmas !!!!! Mom u look like a Penguin!!! hahaha urlLink
2004-05-28‎urlLink    DONT WANNA GET CLOSE! urlLink
2004-05-28‎urlLink    SMILE BEN...YOUR ON HIDDIN CAMERA!!!! urlLink
2004-05-28‎urlLink    O GOOD TIMES AT LOS CHURROS!!! Is there a better after hour urlLink
2004-06-30‎Gavin DeGraw  I don't need to be anything other Than a prison guard's son I don't need to be anything other  Than a specialist's son I don't have to be anyone other Than the birth of two souls in one Part of where I'm going, is knowing where I'm coming from I don't want to be Anything other than what I've been trying to be lately All I have to do Is think of me and I have peace of mind I'm tired of looking 'round rooms Wondering what I've got to do Or who I'm supposed to be I don't want to be anything other than me I'm surrounded by liars everywhere I turn I'm surrounded by imposters everywhere I turn I'm surrounded by identity crisis everywhere I turn Am I the only one who noticed? I can't be the only one who's learned I don't want to be  Anything other than what I've been trying to be lately All I have to do Is think of me and I have peace of mind I'm tired of looking 'round rooms Wondering what I've got to do  Or who I'm supposed to be I don't want to be anything other than me Can I have everyone's attention please? If you're not like this and that, you're gonna have to leave I came from the mountain The crust of creation My whole situtaion-made from clay to stone And now I'm telling everybody I don't want to be Anything other that what I've been trying to be lately All I have to do Is think of me and I have peace of mind I'm tired of looking 'round rooms Wondering what I've got to do Or who I'm supposed to be I don't want to be anything other than me I don't want to be
2004-06-27‎urlLink    YAY GIRLS WE'RE AT THE HOOKAH BAR...(havent been here in years)...well... AFTER THAT WHOLE FIGHT WE HAVE TO GET SOME STRESS RELEASED!!! HEHEHE SORRY BOUT ALL THAT!! U GUYS KNOW I LOVE YALL!!!!! WE'RE THE HOT TRIO!!! hehehe....WAIT A MIN... WHOS GONNA MEET MICHAEL J??? WE ARE!!! LOL urlLink
2004-06-20‎urlLink    THIS IS MY FAVORITE PIC!!!! WILL WE ADORE U..!!!!  urlLink
2004-06-20‎urlLink    GETTIN FREAKY AT THE HOOKAH BAR!!! HEHEHEHE... NICK PIMPIN......................... HAHAHAHA urlLink
2004-06-20‎urlLink    Ben u pissed me off!!!! Seriously... HaHaHa urlLink
2004-06-20‎urlLink    This pic looks soooo good!!!! Mag girl....omg.... WTF? I still cant believe you're this tanned!!! LoL... Will u have a lot of catching up to do!!! LOL urlLink
2004-06-20‎urlLink    Russel!!!! you're sooo sweet!!! Loved meeting u... We all have to hang out some more!!! :) urlLink
2004-06-20‎urlLink    Nick.... look how lucky u are..... u have these 2 hot girls neXt to u!!!! FEEL SPECIAL!!! LOL urlLink
2004-06-20‎urlLink    Damnn gurl...u look tanned!!!!!!!!!!!!!!!!!!!! UhuHuuuu Brazilian power workin right there!!!! urlLink
2004-06-20‎urlLink    awww yall are soo cute urlLink
2004-06-20‎urlLink    Tank Tank.... Nice meeting u dude.... we HAVE TO GO CLUBBIn!!! HEHEHEH I WANNA C U BUSTING OUT THOSE MOVES...hehehehe urlLink
2004-06-20‎urlLink    Hey u guys!!!! Having a good time/??? urlLink
2004-06-20‎Shouldve never told u  That I cared about u  Didnt think tha it would be, so bad  Shouldve never kissed u  Shouldve never held ur hand  How could u tell me tha u liked me When I know u were just tryin to play me  But u'r the fool  bc I kno how 2 switch the game up on u  And n the end I kno who will lose  I played this game before  And I cant play no more  Wha do u take me for  Its not what u thought  So dont play games w me  bc I play to teach  Its not tha serious  I never put tha much thought into us  It wasnt that I loved you  I was curious  Who did u think tha u were involved w  Now babe u should kno tha it aint tha serious  It should concern u tha Im always 1 step ahead of u  So tha should let u kno tha wha u do  Ive done before, its nothin new  So run those games on someone who cant be fooled  I can almost see lies coming through ur teeth  In every word u speak u make it clear to me  Tha u're playin wrong n ur game aint strong  Ive been in this 2 long, so just be moving on  Got to find a way to let these feelings go
2004-06-19‎urlLink    AWWW... I MISSED HANGIN OUT W U GUYS!!!! HAHAHA... CHECK OUT THE PIMPS!!!! LOL urlLink
2004-06-19‎urlLink    WOW...HEHEHE... FROM THIS ANGLE U GUYS DONT LOOK THAT BAD!!! LOL.... JK urlLink
