date‎text
2004-06-30‎Hoje, a Julia me contou sobre o gato dela que nao e um gato!! Yup, a cat that is not a cat. It doesn't miaow. It kinda does a mooing dinosaur sound. It also has the ability to walk along vertical surfaces, jump impossible heights in order to open the door and if Julia isn't nice, it bites her neck and doesn't let go. As always, I was left without comment. Such things are better left sem commentarios.   Spiderman 2 comes out tomorrow!!!!!!!!!!!!!!!!!!!!!!
2004-06-25‎urlLink    5 dias e contando... urlLink
2004-06-24‎urlLink    Faltam 6 dias. Gente, voces nem tem a minima idea como eu quero assistir meu heroi soltando teias em volta de Nova York! Homem Aranha inspirou minha vida en mais maneiras do que voces podem imaginar. Cheguei ao ponto onde eu fica depressado se meu traje fica sujo ( esse e o traje de homem aranha que eu tive feito pra mim depois o primeiro filme ). Algums falam que eu preciso ajuda, mas eu so da uma olhada neles e faco ameacas colocar minhas teias nas bundas deles. Parece que nao ta funcionando ainda. Enquanto eu espero o Deus me dar os poderes desse homem, esse enigma, esse fonte da inspiracao e maravilha, eu vou estar esperando Homem Aranha 2. Se alguem quer esperar comigo fora do Central Park, me liga. Por favor. Nao quero parecer estranho! urlLink
2004-06-18‎urlLink    Marika and I at a sandwich shop in Foz. I just felt like putting this pic here. Try and guess what was written on the paper. $100 to anyone who gets it right. urlLink
2004-06-12‎urlLink What Famous Leader Are You?    urlLink personality tests by similarminds.com
2004-06-10‎"urlLink    I did a personality test to find out which classic movie I am. Turns out I'm Schindler's List. That's cool. Now when I introduce myself to people at parties, I can officially describe myself as ""Schindler's List"" Feel free to call me Schindler's Listical. Being a Schindler's Listically orientated person, I won't hold it against you. At least that's what I tell people :) urlLink"
2004-06-10‎urlLink    I am the evil bass player from Pe de Vaca. Here my scintillating bass and fall at my knees minions!!!HAHAHA. Just don't fall ON my knees. That would hurt. A lot. urlLink
2004-06-05‎urlLink    Yup. This is a man rolling down a hill. Bet it's not everyday that you get to capture this. Well done Ryan. Respect. Exchange Students Forever urlLink
2004-06-02‎urlLink    Sometimes, it's better not to ask. urlLink
2004-06-02‎"People like categorizing. Itâ€™s an unescapable truth. Categorizing is one of the most basic functions of human beings. We humans are obsessed with  order ( humans in general I mean ) and with being able to put everything in a pretty, little box. Somehow, it makes us feel the world is safer when something is nicely labelled and categorized. I suppose it makes us feel we have a sense of power over that something. Whatever the explanation, the fact still remains: People like categorizing. Unfortunately, Iâ€™ve fallen victim to one of the most impifferating *  types of categorization.  Countrylisation. This world is not as small as people would like to believe. Letâ€™s face it, if youâ€™re foreign, youâ€™re foreign. And as the majority of the worldâ€™s population is made up of induhviduals *  whose only concerns are the basic functions of nutrition, excretion and reproduction, the problem of countrylisation is unavoidable. Let me explain. Countrylisation is the categorising of people according to the country from which they hail. There are several basic groups. The nicest ones include the rich country group ( excluding USA ). These include Britain, Germany, New Zealand and other countries along those lines. These are cool countries to come from for the obvious idea that you are automatically â€œ richâ€ and â€œrespectableâ€. Even better is if you come from the East-Asian group. Everybody loves Oriental people, almost as much as they love catergorizing. The whole East Asian culture attracts and seduces people with its mysticism and ancientism. Plus, they blessed the world with the Playstation 2. Case Closed. But not all groups are lucky enough to have positive attributes connected with them. Take, for example, the Americans. Unfortunately, because of all the stigma attached to Americans ( or more correctly, American politics ) the world kind of lifts its nose to those belonging to the Red White and Blue. Along the same vein are the French. No one likes rude people that smell.  That leaves the rest of the world in need of colocation*. To make it easier for the induhvidual race, the rest are simply tossed into the Donâ€™t worry about them, their foreign group. Thatâ€™s not a nice group to be in. Inside this group, are even more divisions. We have the Unknown country group. Iâ€™m being optomistic in my idea of your intelligence sweet visitor so I wonâ€™t explain that group. Even worse is the group on which I will focus the rest of my blog. The Unknown African Country. Friends, the idea that the world views Africa as lions and jungles and an abscence of civilisation, is true. In my various correspondances with my other Zimbabwean exchange student friends, the following have been the most stupid questions they have been asked : 1.	How did you handle the idea of Internet when you first encountered it here? 2.	Were you frightened when you came here and saw all these cars? 3.	How come you wear normal clothes here instead of the traditional clothes you use there?  People, despite the fact that the people asking these questions were simply looking to increase their knowledge, it is insulting to be asked. Itâ€™s come to a point where I donâ€™t have the energy to come up with a sarcastic asnwer anymore. And for me, thatâ€™s bad. Donâ€™t get me wrong, the world is not clueless on Africa. For them, Africa is made up of the Northern countries and the Southern countries. Though it may seem like an obvious revelation, it took many hours to convince people that we are not one country. I was asked, â€œSo what province of Africa are you from?â€ The question left me speechless. And there is no getting used to such questions. This is not so much of a problem for the known African countries ie South Africa and Egypt. For the rest of us however, this presents a big problem. I have been in Brasil for 4 months now and I still have people introducing me as â€œKofi Zwana from South Africaâ€. Itâ€™s difficult when people cannot remember or even pronounce the name of your country. So I suppose it is easier for them to just say,  â€œZimbabwe, South Africa, same differenceâ€ People! Stop being lazy! Take the consideration to at least learn the difference between two completely different countries. African countries are not all the same. Iâ€™ve had a hard time convincing people that North Africa has nothing in common with what I know of Southern Africa. Africa is a big place. I will not respond politely if you ask me if I know a friend of yours who lives in Nigeria. I will not respond politely if you ask me how life in South Africa is. I AM FROM ZIMBABWE!!!!!!  Take the time to learn my countryâ€™s name. If youâ€™ve got nothing to do on a Sunday afternoon, open an Atlas and find out about that large continent sitting in the middle of the world. Iâ€™ll guarantee it more interesting than any soap opera you might be tempted to watch. Unknown African countries, let us unite against the evil that is obscurity. We will no longer be slaves to ignorance. This ends now.  After all that ranting, what, you ask, is my point? That we should learn the names of African countries? No! That is far from what I want to say. My plea is that we stop categorising people. People cannot be categorised according to where they come from. I know people who live in my neighbourhood who have nothing in common with the way my family does things. The beauty of life is that God created us all unique. Uncategorisable. The problem with categorising is that it is an equation that leaves no room for variables. If youâ€™re like this and this and this, cogito ergo sum, you must be this. But all humans have variables that contradict their status quo thus making all humans exceptions to the equation. People in Zimbabwe are not like people from South Africa, not all people from the â€œrich countriesâ€ are rich. The majority of American people are nice. The French donâ€™t smell that bad! Letâ€™s break the cycle here informed visitors. Let us not concede victory to the Induhviduals of this world. A good friend of mine named Rawlins, whenever putting forward an idea or suggestion, would say, â€œany additions, subtractions or multiplications are welcome. But no divisions because united we stand, divided we fall.â€ And itâ€™s true. Scout Finch from Harper Leeâ€™s â€œTo Kill a Mockingbirdâ€ put it best when she said, â€œthere are only one kind of folks. Folksâ€  Let nothing divide what the Almighty created as one.  Thank you  Ephesians 4:3 - ""Make every effort to keep the unity of the Spirit through the bond of peace""    * Glossary    Induhvidual  - stupid person. This way, you can insult people to their face without them realising :   You : Gee Tim, you're such an in-duh-vidual Tim : Wow thanks   Impifferating  - A word that I made up. It means pissing off.  ******************************************************************"
2004-07-02‎Gente. Faltam 2 hrs e 10 minutos atÃ© minha saida dessa cidade. I'll be gone for a full 30 days so don't be surprised if there aren't any updates for a month. Take care and remember that I too am a little birdie. God bless.
2004-08-09‎Hey guys! I'm back from the most amazing 28 days of my life. 11 cities, 45 exchange students, and a whole bunch of crazy stuff happening. We visited the most beautiful beaches in the world, got to know a bit of Brasilian history and partied at the biggest and best clubs in the country. Tambem foi otimo porque eu namorei. I just wanna holla out to al the guys especially the Musketeers and say I love you all and miss you like 8-track tapes.
