date‎text
2004-08-03‎Welcome to 9694 Photo! On this Blog I post some of my best Pohtography, Give Photo tips, and recieve feedback on the pictures I post here. I am in High School, so there is not much time to take many pictures. I usually take shots of nature, but other times I will have sports shots. I'm taking a photography class at school, so I hope to get better. You can e-mail your photography to me and, if you want, I can Post It here as a Guest Photo. My E-Mail Is  urlLink j_knight@att.net .
2004-06-17‎urlLink    Here Is The Statue Of Liberty.
2004-06-16‎urlLink    If you look in the center of this picture you can see where the World Trade Centers were. I had a great time in New York.
2004-06-08‎urlLink    Here is my Entire 8th grade class.
2004-06-08‎urlLink    Here is a picture of my friends and me at our 8th grade Graduation. Compton, Caroline, and me.
2004-06-08‎As you might can tell I LOVE to take pictures. If you are the same way I would love for you to send me your best pictures. I love to look at others picturs and learn. I take pictures with a Canon Rebel EOS. It goes EVERYWHERE with me. I'll have pictures of N.Y. City on here by Tues.
2004-06-08‎urlLink    I play the Trumpet at school.
2004-06-08‎urlLink    My little brother and his Choir director. He actually likes to play Baseball.
2004-06-08‎urlLink    I found this little bird walking around so i got my zoom lense and got its picture. I entered it into a photo contest. I don't know if it has won, but I'll let you know.
2004-06-08‎urlLink    Here is my dog. Her name is Boots, just look at her paws and it will all become clear. SHE IS THE BEST DOG IN THE WORLD!!!!!!
2004-06-08‎urlLink    There is my Grandfather on the far left. We are all pretty good at put put. (or mini golf as some call it)
2004-06-08‎urlLink    Mom in action. She is learning how to be a teacher.
2004-06-08‎urlLink    My Aunt Stacie on the bottom and my Mom above
2004-06-08‎urlLink    My Grandmother...
2004-06-08‎urlLink    Ok I found a picture of all of us. Dad is on the far left.
2004-06-08‎urlLink    Here is a picture of my family. (Dad had to work and couldn't come with us on the trip) My little brother is on the left, mom in the center, and a terrible picture of me on the right.
2004-06-08‎urlLink    This Is A Picture I took At A Little Place Called Peach Park In Clanton AL.
2004-06-08‎Hey! Visit the site below! I webmaster It for my Grandfather. It has to do with cars, but I have some of my photos on it.  www.streettoyz.net Tell me what you think!
2004-07-01‎urlLink    More Of My Hobbie. In Peach Park
2004-07-01‎urlLink    Me And My Brother In Battery Park.
2004-07-01‎urlLink    Here Is The Sculpture That Stood Between The Twin Towers. It is now in Battery Park.
