date‎text
2004-06-22‎Well thay left today. i miss her alredy! well i hope she reads this. send me an email or an im when you get home i mean it i love you get home safe
2004-06-21‎Well This sucks i will not see my Becky untill next year and i will miss her so much but i never get to bond but i think we will next tome
2004-06-29‎It is OVER!!!!!! Now i can be Free. Ave Becky Is mine not your's I am willing to fight for her!!! On the other hand I am going to have a great 4th of July. We got a gillin of Fireworks. Becky were are you dont make me call!!
2004-07-09‎i have never been to her house
2004-07-08‎i got an email from som JROTC chick in florida and she want to meet me and see what i am like AVE AND BECKY HELP ME !!!!!!!!! give my some info on this
2004-07-06‎my aunt erin eating nasty stuff urlLink     urlLink
2004-07-05‎my Little Cuz Caitlin urlLink     urlLink
2004-07-05‎Good Pic of becky next to my fishing poles urlLink     urlLink
2004-07-05‎Cowboy Rifle's over my grandpas desk urlLink     urlLink
2004-07-05‎Funny Pic of Becky when She stole my camera for the day urlLink     urlLink
2004-07-05‎One Of My dad's revolvers urlLink     urlLink
2004-07-05‎from my trip to Quantico Virgina urlLink     urlLink
2004-07-05‎i have one of these urlLink     urlLink
2004-07-05‎MY Becky urlLink     urlLink
2004-07-05‎My Uncal Dale urlLink     urlLink
2004-07-05‎urlLink    me at shoot straight urlLink
2004-07-05‎I may be leaveing in a ambulance but you will leaver in the corners van!!!!!
2004-07-14‎Well he worked and got drunk what a way to spend your b-day and i get cused out because i had to charge my phone and went to do chores and didnt ake it
2004-07-22‎I shoot every week at least 1000 round's.I am going after school augest second to the police department. To become a registerd sniper. Weapon of choice is a springfiels M1903-A3 30 .06  and a springfield armory M1911-A2 .45.I also have a real big collection of other weapons. i am a sport shooter
2004-07-19‎five of five urlLink     urlLink
2004-07-19‎four of five urlLink     urlLink
2004-07-19‎three of five urlLink     urlLink
2004-07-19‎two of five urlLink     urlLink
2004-07-19‎one of five urlLink     urlLink
2004-08-01‎he is also my dart partner and those are the two boards in back thay are reserved for regulars and their is one in the back that you can see in the biker pictuer urlLink     urlLink
2004-08-01‎my dads cooker urlLink     urlLink
2004-08-01‎biker tom and his wife biker peg urlLink     urlLink
2004-08-01‎"mayer ""max"" urlLink     urlLink"
2004-08-01‎"deputy ""Mike"" urlLink     urlLink"
2004-08-01‎"sheriff ""jay"" urlLink     urlLink"
2004-08-01‎my dad in in black my uncal bama in white ant tiffay in pink urlLink     urlLink
