date‎text
2004-06-19‎so on another note DO NOT STEAL SHOES FROM BOWLING ALLEYS!!!  You will be hit with a truckload of bad karma, and by bad karma I mean your closet will smell terrible.  I can barely open it to get my sweater.  yech!!
2004-06-18‎"So today I spent 8 hours practicing being a suburban mom... err... what I meant to say is I was babysitting.  Well, by babysitting I mean I was sitting on the designer couch reading ""Little New York Bastard"".  It's not like I'm lazy or anything, I just didn't want to follow the kids around all creepy-like while they did their own things.  Speaking of creepy, thier house kinda gave me the willies.  It was so immaculately clean and potterybarnesque, I didn't want to touch anything.  It was creepy."
2004-06-18‎urlLink    hmmm..... urlLink
2004-06-17‎urlLink    Srobey, G-Kat and me urlLink
2004-06-17‎urlLink    avast ye matey!!! urlLink
2004-06-17‎urlLink    piggy back ride urlLink
2004-06-17‎urlLink    no, alex no!!!! urlLink
2004-06-17‎urlLink    HOTT urlLink
2004-06-17‎urlLink    almost as hot.... urlLink
2004-06-17‎urlLink    me and my homeboyz.... urlLink
2004-06-17‎urlLink    grrrrr.... urlLink
2004-06-17‎urlLink    no, i did not pay these people to pretend to be my friends... well not much anyway urlLink
2004-06-17‎urlLink    so we finally graduated, for real this time. urlLink
2004-06-17‎urlLink    grad night!!! urlLink
2004-06-17‎urlLink    mom, me, grandma urlLink
2004-06-17‎so i have decided that perhaps instead of this being some way for my to express myself using big words and funny anecdotes it would be more useful as a picture display thingy.  Oh come one, lets be honest, anyone whom im friends with has an attention span the length of my... well, lets just say it's short, and besides all anyone ever does is just skim for their names or for juicy details.  So here are the grad night photos.
2004-06-17‎urlLink    adios acalanes urlLink
2004-06-17‎so yes this is my very first blog entry.  I have joined the 21st century horray!!!!  I just thought i should give you all a nice glimpse into chaos and insanity that is my world.  so ta-ta
2004-07-09‎um, im bored of this now.
2004-07-02‎"urlLink    ""Being Short"" urlLink"
2004-07-02‎urlLink    So guess who I ran into on tuesday???  Yeah thats right good ole Billy Boy.  That also happened to be the first night I have ever spent the night on a sidewalk.  Urban camping?  No, we were goin to the book signing.  So Blakely, Dan, and I left her house at midnight to camp out the meet Clinton.  So 16 hours later we didn't get him to sign our books but we were photographed by 4 newspapers and filmed by 2 newsguys.  We were on fire.  But as he was leaving the building I saw his hair and even his face for a good 2 seconds.  I mean I looked into the eyes of Bill Clinton!!!! (GASP). All and all not bad. urlLink
2004-07-02‎urlLink    Amazing what you find in Chinatown urlLink
2004-07-02‎So I just got back from adventuring in Costa Rica.  It pretty cool.  The best part was the petting of the giant wild 3 twoed sloth which I was engaging in.  I had a cool pic but it got lost somehow, maybe later.....
