date‎text
2004-06-28‎urlLink    Por que a un BMW???.....por que??? :ï¿½( urlLink
2004-06-27‎urlLink    Lo que hacen las compaï¿½ias publicitarias por que se vendan sus produstos.... urlLink
2004-06-25‎"Alguna vez se han kedado solos en su casa y prenden la tele y no hay nada bueno, entonces que hacen?:  a) Van a comprar algo de comer a la esquina.  b) Se ponen a hacer la tarea en un viernes cuando no hay clases sino hasta el lunes.  c)Buscan algo para destrozar.  Si eligieron la ""a"" pues adelante vayan y compren estaran de regreso en 10 minutoas a lo mucho y comeran por 5 minutos pues no hay nada ke hacer y despues ke?...  Si eligen la ""b"" puede ke sean muy dedicados al estudio, asi como nacho...no hablando ya en serio esto es lo ke Karina harÃ­a... pero no creo ke nadie mas lo haga...  La unica factible es la respuesta ""c"", algunos pensarÃ¡n que les dira su mami cuando vuelva, pues lo mejhor que pueden hacer es buscar algo para destruir o algo con lo que destruir.  Existen varias cosas con este proposito...como...mmmmm.....un encendedor y un spray...o.....crema para las manos, alcohol y un cerillo...o muchas cosas mÃ¡s pero algo ke no muchos piensas hacera es tomar una maquinita, esas de las peluquerias (o esteticas no se cual sea su preferencia, y si..............los estoy albureadno) y pues busquen a su mascota...claro no pueden rapar a una tortuga o una vibora, porfavor...  Si es ke hacen esto por favor mandenme las fotos a mi mail..."
2004-06-25‎urlLink    Asi kedo el gato de un amigo despues de un rato de ocio... urlLink
2004-06-25‎urlLink    Si a alguien le gustan los peluches raros o si solo se quiere reir entre aca... www(punto)figure-max(punto)com(diagonal)ahuro(punto)htm urlLink
2004-06-25‎Bueno pues escribo en espaÃ±ol porque quiero ampliar los limites de mi pagina y que asi mas personas puedan entenderla...  (The real thing is that some of my friends cannot understand english and I feel sorry for them)
2004-06-25‎Bueno pues en realidad es un buen juego solo que algunos stats andan algo mal por ejemplo el de argentina y el de turquia... pero pueden encontralo en:  www(punto)radicalplay(punto)com(diagonal)socca  (punto) = . (diagonal) = /  es logico no?
2004-06-25‎urlLink    Un muy buen juego de fut en internet...pruebenlo alguna vez... en      urlLink
2004-06-25‎urlLink    Mira nomas...este wey me esta viendo... urlLink
2004-06-25‎urlLink    An alpaca who knows some tricks to get attention... urlLink
2004-06-25‎"Grabbing some Rays   If you notice your healthy Alpaca laying dead still, on his back, all four feet in the air, donâ€™t panic.  He may just be sunbathing. They do this often, especially in warm weather when a cool breeze on the belly would feel nice for anyone. On some occasions your Alpaca will be so lost in his own little world that you can walk right up to him before he will jump to his feet and run away.   Bouncing  You will occasionally see your Alpacas bouncing around the paddock, lifting all 4 feet off the ground at once with their tails held high.  This is called ""stotting"".  Cria's in particular enjoy to stott and chase each other around, but adults will also join in the fun. This activity mostly happens at dusk and is very enjoyable to watch.    The Sulk  When alpaca's get upset they will  ""drop their lip"".  The bottom lip will become all droopy and fall away exposing the bottom teeth and gums. Some alpacas will take pieces of hay, grass or leaves into their mouths and just hold it there for extra effect. Saliva will sometimes drip from the bottom lip as well.  If all this sounds rather pathetic, it is.  They are sulking. Don't worry about it. They have probably just come off second best in a disagreement with another Alpaca and they will get over it in a few minutes. (Often the sulking Alpaca will have a few globs of green spit on their face as evidence of the disagreement!)    Dust Baths  Alpacas love to roll and they will line up and wait for their turn. There will be spots in the paddock which become bare patches over time. And yes, if it's been raining, those bare patches will be mud baths - they roll anyway!   It's Mine! All of it!  Alpacas don't like sharing their food, so some of them will sit on the hay to stop the others from getting it. If a handful of tasty food has already been offered to an alpaca, it becomes second hand and no one else will want it.   Sticky Beaks  If you are doing some planting, fixing a fence or just messing about, it won't be too long before you have an audience.  Alpacas like to know what's going on and more often than not they will all be there lined up along the fence checking out your handi-work. Likewise if you leave an item in the paddock when you're finished, a tool or piece of clothing, each alpaca will ensure the item is thoroughly looked over, sniffed and tasted before being delegated to their ""boring items"" list. They will revisit the item every now and again.   Water Babies  Alpacas like to keep cool when it's hot.  They will dance in a sprinkler or dunk their feet in a water trough.  If the water trough is big enough or if you have a dam - they will sit in it.   Hum!  Alpacas have a unique language. When they are moderately concerned about something they hum.  Alpaca Mum's hum to their cria's. An Alpaca who sees or senses danger will sound the ""alarm call"" which is a high pitched squeal which sounds like a cross between a bird and a donkey! It is impossible to ignore. Male alpacas ""orgle"" at females - They blow their cheeks out and sound like they're gargling.   Hit and Miss  Alpaca cria's like to play rough and will test their mums to the limit. A favourite game is to be far away from mum, turn and run straight at her at top speed.  The mum's nice soft fleece means a easy landing at the end for the cria. The mums tolerate this game quite well. A cria who chooses the wrong mum, though, will receive a face full of bright green spit for his trouble.   Super sleuths  Grown alpacas like to play detective and sneak behind you. You know they are doing this because you can hear them, but if you turn suddenly, every alpaca will be head down grazing or looking off in another direction just so you won't  know they were following you.  Males check out the dung piles to see if the females are pregnant.  He will put his nose right into the pile, inhale deeply, roll his eyes back and then throw his head straight into the air arching his neck over his back. He will do this several times, snort and then either go for the girls or carry on grazing (depending on his analysis)this is very cientific. They're usually right too!"
2004-06-25‎urlLink    An alpaca doing some of his things... urlLink
2004-06-25‎Parece que abirste esto en el internet explorer, huh?  por ke no descargas mozilla es mucho mejor...aparte le arruinas el imperio a microsoft...  LO PUEDES BAJAR AQUI::::::: http://mozilla.org/products/firefox/
2004-06-24‎"urlLink    Como evitar el ""ring rage"", lo que hace chuyo de toca y corre.. urlLink"
2004-06-24‎urlLink    The first try to get the man on the moon... urlLink
2004-06-24‎"urlLink    ""whoooaaaa"" urlLink"
2004-06-24‎urlLink    If women park their cars, or only they drive this can happen... urlLink
2004-06-24‎urlLink    Shit happens...this is just an example of it...one day he was just riding on his bike, but at the next time this happened... urlLink
2004-06-24‎"Well all over the world in the lifes of too many people shit happens... just like the D12 song ""Shit can happen""....  In our classroom this things happened everyday... But the next examples are real...  ""Please don't try this at home"" Jejeje"
2004-06-24‎"A mi me parecio que el jugador numero nueve de Grecia, el de la foto de abajo,se parecÃ­a un poco a potter, ya saben de kien hablo, un vale llamado Juan ke iba un aÃ±o abajo...  Asi ke opinen...como en la telencuesta ""comente ya!""...  a) Se parece  b) No se parece  c) Un poco tal vez  d) Estas ciego wey"
2004-06-24‎urlLink    La alegrÃ­a griega...por cierto que buenas morras griegas en la tribunas... urlLink
2004-06-24‎urlLink    El llanto francÃ©s... urlLink
2004-06-24‎urlLink    Mal juego por los franceses,...los griegos dejaron todo en la cancha y jugaron como uno de los equipos ancestrales en la historia del futbol, mientras que Francia jugï¿½ como acostumbrabamos ver jugar a Grecia... urlLink
