date‎text
2004-07-16‎urlLink    Final Fantasy VIII
2004-07-15‎urlLink    naruto
2004-07-15‎urlLink    guildwars snapshot
2004-07-15‎urlLink    Naruto
2004-07-15‎urlLink    guildwars
2004-07-15‎urlLink    guildwars
2004-07-15‎urlLink    guildwars
2004-07-15‎urlLink    guildwars
2004-07-15‎urlLink    guildwars
2004-07-15‎urlLink    guildwars
2004-07-15‎urlLink    guildwars
2004-07-15‎urlLink    guildwars
2004-07-15‎urlLink    El Hazard one of my favs
2004-07-15‎urlLink    Angel Sanctuary
2004-07-15‎urlLink    Angel Sanctuary
2004-07-15‎urlLink    Concept
2004-07-15‎urlLink    naruto
2004-07-15‎urlLink www.toriyamasworld.com     I have seen about 40 episodes so far and it has been one of the best shows that I have ever seen. If you like anime then you'll like this. I dont want to go into to much discussion about it because I might ruin some of the parts for you but if you'd like to know more then here's a link.
2004-07-15‎urlLink    Garaa from Naruto
2004-07-15‎urlLink    this show is actually still being made right now and is still showing in Japan. Its called Naruto
2004-07-15‎urlLink    Hellsing
2004-07-15‎urlLink    I just like this pic
2004-07-15‎urlLink    concept
2004-07-15‎urlLink    concept
2004-07-15‎urlLink    concept
2004-07-15‎urlLink    concept
2004-07-15‎urlLink    concept
2004-07-15‎urlLink    concept
2004-07-15‎urlLink    concept enchanted forest
2004-07-15‎urlLink    concept not a ship its on ice
2004-07-15‎urlLink    concept
2004-07-15‎urlLink    concept
2004-07-15‎urlLink    concept
2004-07-15‎urlLink    nice sunset
2004-07-15‎urlLink    nice concept art
2004-07-15‎urlLink    good poster.
2004-07-15‎urlLink    one of my Favs. Very nicely rendered poster.
2004-07-15‎urlLink comments page
2004-07-15‎urlLink    A great rendering of a warrior.
2004-07-15‎urlLink    Great wallpaper of a swordsman.
2004-07-15‎urlLink    A nicely done verticle poster.
2004-07-15‎urlLink    Here is a nice wallpaper of a ranger.
2004-07-15‎If you do not know about guildwars or have never heard about guild wars and you like to play mmorpg's then you'll love this game. First off if you like Finall Fantasy online but dont like the subscription fees. Then you'll really love this game because it's ONLINE FOR FREE. . Thats right you no longer have to play relentlessly online just because you have a time limit, you can get online and play anytime you wish. One of the down falls to many online games is that you are on a specific server and your friends may be on another. What makes this game better than many others is that all the servers are seamlessly connected. That means that anyone who is online anywhere in the world who is playing the game is in the same world as you. You might think that this might cause a lot of trouble when or killing monsters due to kill stealing but no more. Credit is givin where credit is due. No one can just come in and take your kill. I'm not sure how this is done quite yet because the game is still in the final stages of developement. One thing that I do know is that every player or group will be given their own personalized map. That means that you or your group will have a map that is all your own and that is different from everyone elses. The final thing that I believe really makes this game different from all the rest is that it streams data directly to your computer. Meaning you will get new opening videos new content while playing the game, the posibilities are endless. I hope that this peeks your interest just a little bit.  Please comment on some of your ideas, questions, or just what you think.
2004-08-14‎urlLink    yeah
