date‎text
2004-07-31‎urlLink Haloscan  commenting and trackback have been added to this blog.
2004-07-30‎urlLink    Coming Soon! urlLink
2004-07-30‎urlLink    Ooooowh I juz dunno wut to say!!I'm totally speechless....shes change alots,noe! neway, ;p fish did it !!  urlLink
2004-07-29‎urlLink    ROOM-510 urlLink
2004-07-28‎urlLink    Blimey......... urlLink
2004-07-27‎urlLink    Flying Dutchman! I believe I can fly! urlLink
2004-07-27‎urlLink    Price Tagged Girl! Estimated Cost :RM 10,000,000  urlLink
2004-07-26‎urlLink    Dexter Lab's New Liquiditic Fluid Acidic Cream! WARNING:It BURN ur skin alive! urlLink
2004-07-26‎urlLink    BLHIGH owned Jet Plane airline stewardess!!Chief Air Hostess is Sylvia Sng...while Fawwalizzie McGuire a/k Kapal is her assistant.....and Cynthia is our captain for today flight....Welcome Aboard!!This flight will fly non-stop to Frankfurt,Germany!!...feel free to call anyone of us!  urlLink
2004-07-25‎urlLink    This picture had been taken during Japanese Occupation,2004!! urlLink
2004-07-25‎urlLink    Hmmmppph..........I knew this smell...issit Calvin Klein Shit-Like 2004 Summer Edition? urlLink
2004-07-25‎urlLink    I saw a spider this big and it got kaki...this much...and then this huge spider go under my bed laarh...and this gigantic spider jumpin jumpin laarh...make my katil go goyang and shakinglaaarh!!!Its really BIG!!!honestly urlLink
2004-07-25‎urlLink    for those whu knoe.jpg took it from anurad!!!well,guess whu issit??.....lolz,its not Jane but...better ask Maynard!!! urlLink
2004-07-25‎2day sch sux....i wish i culd kill him........slimy oxymoron bloody fat ass jerking pig!!He is totally a stranger to me and now, he gave me order...waahloow he felt tht he owned the whole the sch,bullshit!!hope so can behead him,cilaka laaarh tht boy!but naaarh...think positive..its better to stay in my cozy ... B.Singh classroom ,hang out with my insanity companion!!hahahhaha...we all hav alots of fun coz got no ADD MATH today...weehoooo,merdeka~ merdeka!! urlLink
2004-07-25‎urlLink    my most fav music band...coldplay,brit-pop!!!and not to forget blur nd long lost gorrilaz! urlLink
2004-07-24‎urlLink    my beloved sch! urlLink
2004-07-24‎"urlLink    ""8 Mile is juz too far!?!"" farted nick to Sam! urlLink"
2004-07-23‎"urlLink    ""Well well well...c this....tht thing look so big yet ugly!""Melanie said to $@#$no idea%$^$......ooowh it juz a fake centipede........ urlLink"
2004-07-23‎urlLink    Spidey boy,wassup?ooowh yeah this picture is somehow someway not related to Spider-man 3 or 4 or 5or 6.....or 7.....8.................9..........10...it juz Eugene Sng....whu juz woke up from his Spidey Dream!this picture taken by Sam's Cam!!Boohoooo.... urlLink
2004-07-23‎urlLink    to Jin Shing!....hope so this pic can put a lil' smile on ur face,at least!!Be happy owez,k?? urlLink
2004-07-23‎"Weehooo.....got open day...and u knoe wut??my dad dun care about it neway..........Hahhaha,noo curfew!went for choir....kor lien jin shing!!..(-_-"")Bubye... urlLink"
2004-07-23‎Hey!!tomlo got hari pemuafakatan!!to me its like the end of the wolrd liaow!! urlLink
2004-07-21‎urlLink    Wong Bros......kang-kang and beng-beng ooops not Phua laarh its Timmy and Sean!! urlLink
2004-07-19‎urlLink    Kay Khai a.k.a. Gay Guy urlLink
2004-07-19‎urlLink    c below........... urlLink
2004-07-19‎urlLink    well let c.............ooowh yaaarh got meeting at Room 509,ahhahahah we all having breakfast then....Sylvia(watchin TV),Nurul(eatin Kaya Bun),Jin Thai(Maggie),Zahid(Meditating),Cyril(Yoga),Nick Kho(knak mummified),Maynard(maggie) and me(tangkap picture looorh),d'oh............ urlLink
2004-07-19‎urlLink    Lolz.......ahhahahahha,nick nick!Haiyohh........... urlLink
2004-07-19‎urlLink    Well............let c,Oooowh Sarah Anne took this one!! urlLink
2004-07-18‎urlLink    New facelift of Airbus-A330! urlLink
2004-07-18‎urlLink    Well..well..well....look wut happen?Its not Final Funeral nor Final Fantasy,...its !@#%^$*$ no idea! urlLink
2004-07-18‎urlLink    The teachers and the chaperons life size figurines,Mdm. Luk sold seperately! urlLink
2004-07-18‎A blonde Repunzel with a floating ball...ooops a ballonie! urlLink     urlLink
2004-07-18‎urlLink    Before/After! Spot the difference! this picture had been created by Samtrix a.k.a. Jin thai.........to Sylvia,DUN BLAME ME, ......;P Fish did it! urlLink
2004-07-18‎urlLink    Charlie's Devils urlLink
2004-07-18‎urlLink    Such a beautiful Sibu!I took it in front of Wisma Sanyan while walking along with the whole Choir like a pack of wolves..........roaming around Sibu without doubt and we all juz hantam and du not follow the rule,isnt it sounds great? urlLink
2004-07-18‎urlLink    Hey!Can u spot me....Im wearing red and white! urlLink
2004-07-18‎Hey wassup u all out there...hope so u all can really understand how my life is!It juz like a cube but its not really tht cute,in fact it rolls like a dice!
2004-08-14‎Picture Comment:Sarah Anne,shes the witch..a blair witch!Behold,her smile might cause eye irritation...shez got a medusa for a pet!THE PICTURE COMMENT END HERE!Phwwww..........hazy day!Ooowh yearh........tonite got AF Finale ...Zahid,he might won the 1st place(p/s: Zahid,dun perasan,okay?Its not you laarh..eihh tambey...ni poorrdahh)Owh.........I woke up at 6:00....reached sch at 7:30!!went to canteen and loiter around the sch........untill 8:30...........then Choir Practice......finish at 11:12!...and then wait till 12:36...my dada took me home....ate Mushroom Soup with French Loaf 'coz Maggi oledi finish....watch TV...make Chemistry Lab Report...continue watchin' till drop snoring...suddenly,my nap is over caused by mothernature phenomenon,....ultrasonic soundwave!went for a short walk....then cyclin' ...then went to the toilet for pee and poop...then go to my parentbedroom bathroom..(my water heater rosak)....hav sum shower!!!Grab my clothes from the closet....shut off the air-cond then...go to Family Room ....preparin' for AF!!no tissue pls,I'm not tht soft!Msg to Nurul:Aiyoooh...I think fatty BOB cant do it!....toddle doo urlLink
2004-08-09‎urlLink    Picture Comment:Sarah Anne,shes the witch..a blair witch!Behold,her smile might cause eye irritation...shez got a medusa for a pet!THE PICTURE COMMENT END HERE!Phwwww..........hazy day!Ooowh yearh........tonite got AF Finale ...Zahid,he might won the 1st place(p/s: Zahid,dun perasan,okay?Its not you laarh..eihh tambey...ni poorrdahh)Owh.........I woke up at 6:00....reached sch at 7:30!!went to canteen and loiter around the sch........untill 8:30...........then Choir Practice......finish at 11:12!...and then wait till 12:36...my dada took me home....ate Mushroom Soup with French Loaf 'coz Maggi oledi finish....watch TV...make Chemistry Lab Report...continue watchin' till drop snoring...suddenly,my nap is over caused by mothernature phenomenon,....ultrasonic soundwave!went for a short walk....then cyclin' ...then went to the toilet for pee and poop...then go to my parentbedroom bathroom..(my water heater rosak)....hav sum shower!!!Grab my clothes from the closet....shut off the air-cond then...go to Family Room ....preparin' for AF!!no tissue pls,I'm not tht soft!Msg to Nurul:Aiyoooh...I think fatty BOB cant do it!....toddle doo  urlLink
2004-08-09‎urlLink    Heyya..2day is a lil' bit hot,humid nd warm day!Im totally blur today and ....Corrina Dance,ahhahahahahhahahahah! urlLink
2004-08-07‎Today,Woke up while the black knight sky still seeking the morning sun!Jogathon,It make me tired tied with three others!Heiiih,wut the heck am I doin!Well...got jogathon 2day!Me,nick,NS,William Chai..we were at Station 10 doin some tickin and counter-checkin,I dare say! Tree Tops....see how civilised we are,hoooh?!?for those who knoe!  urlLink
2004-08-04‎My very British name is  Quentin Garside .  urlLink Take The Very British Name Generator today!   Created with  urlLink Rum and Monkey 's  urlLink Name Generator Generator .
2004-08-04‎My Japanese name is  Fukusaburu Hayashida .  urlLink Take  The Kawaii Japanese Name Generator by  urlLink Shuichigami  today!   Created with  urlLink Rum  and Monkey 's  urlLink Name  Generator Generator .
2004-08-04‎Heih!Today,I woke up quite late!Rushed 2 bathroom and get some hot pampered shower but man,there is no time to waste!Got Physics test 2day,I tot there is no test coz William Chee fleed away to Limbang therefore I didnt study at ALL!...and then,I hantam!Lolz....got rehearsal 2day at TAZA!Owwh thts it...bubye urlLink
