date‎text
2004-07-30‎urlLink    from closest to further ah.. is roei ing.. silver, tung lieng, sharleen and louis..hehe urlLink
2004-07-25‎urlLink    left to right again..tiong(my boss =>).. rong n ah yen urlLink
2004-07-25‎urlLink    left to right.. er..silver, jovita n roei ing.. hehe urlLink
2004-07-25‎urlLink    tung lieng n me.. hehehe urlLink
2004-07-25‎urlLink    haha.. Me and Fran.... =D urlLink
2004-07-24‎urlLink    Houston Retro '95 jersey..... no.11.. Yao.... !! haha got this by my uncle who came back frm canada !! urlLink
2004-07-24‎urlLink    Backview !..... =D urlLink
2004-07-24‎urlLink    awww.... Like father like daughter.. nyahahah... jjk.... Van and Sam !!...haha !! blehz ! urlLink
2004-07-24‎urlLink    Elizabeth and van...... why their smile ?!. haha.. weird...~ :p urlLink
2004-07-24‎urlLink    ahhaa.. they say Esther (left)... and Sam (right).. is the 'parentz'.. and Van is the child ! hahah !! how.. futuristic... :p !!! urlLink
2004-07-24‎urlLink    Groupies !!! Above clockwise... Sharleen... Rudy (tis guy doesnt kno where the cam is ?!).. Van... Esther.. Sam !! urlLink
2004-07-24‎urlLink    ahemz.... From left... Sharleen again.. Van again.. silver ! urlLink
2004-07-24‎urlLink    Van and anthony !!... hhehe... :p urlLink
2004-07-24‎urlLink    Phewit !!...hahaha... From right dulu !! ... Frann !!!! :D..... Van.. then Shar... haha.. urlLink
2004-07-24‎urlLink    haha.. took me 4 timez to take this shot... the 1st 3 rong kept movin.. haha ! rong and van ! urlLink
2004-07-24‎urlLink    no shit... i had to bend down so much on tis pic.. hahah... thtz me n van !... haha.. urlLink
2004-07-24‎urlLink    Frm left.... Van.... Rudy (stop piking hair rudy !!).. Louis ! urlLink
2004-07-24‎urlLink    Groupies !! From left... Rong.. (?.?, like never see a cam).. Van.. Sharleen ( -.- \/  peace ! )... Chee Hong urlLink
2004-07-24‎urlLink    waoh !.. haha... Anthony posin !?... while me sleepin !??! (fake sleep actually) =D urlLink
2004-07-24‎urlLink    ah !! hiau ah tung lieng !! hahah... Sam (left).. and Esther !! urlLink
2004-07-24‎urlLink    smile lin ah tam !!.. haha... yum2.... chow mien.... *burp*.. urlLink
2004-07-24‎urlLink    Groupies... (Female).. haha.. Clockwise below right..... Sharleen.... Fran.... Elizabeth... Soong.. Esther.. Silver.. Van ! urlLink
2004-07-24‎urlLink    Bao2 !!!! Kelvin.. hahah.. playin gamez ?!?! urlLink
2004-07-24‎urlLink    silver !! haha... ZzzZz.. urlLink
2004-07-24‎urlLink    WAH !!!!!!!! scare me eh !!.... no shit... i tot elephant trunk !!!! phew !!! but tis is worse.. AHH !!!!! X.X urlLink
2004-07-24‎urlLink    ahh... groupies foto.. haha... Clockwise from right..... Rudy.. Sharleen.. Johnny... Louis ! urlLink
