date‎text
2004-08-15‎"i just want to make it offical my comic is being ""published"" on miker's blog i think that it is quite funny. I also have become a member of miker's blog so for a while things might slow down in the fight against errol. you can link to mine and miker's and kovier's comic on a link below.   urlLink http://theoryofpeople.blogspot.com/  it's good.......... i guess that wacky ethan is up to it again in:  urlLink http://www.ctrlaltdel-online.com"
2004-08-14‎I have heard roumors of a halo 2 demo coming out this month and if we go with the  urlLink www.ilovebees.com  count down it would put it around the 24th. while reading the offical xbox magazine i noticed they were putting out two issues in the month of august one coming out around the begging of the month on coming out towards the end around the 24th. Now i'm no big city lawyer but i do know that the offical xbox magazine usually puts demos out with it's issues so perhaps halo 2 demo on the next xbox magazine. lets hope so.
2004-08-13‎does any one have a picture of errol for phase one in operation: P.E.H.O.S.I.E.D/ operation shit flinger?. does any one have any talent in creating operation code names?
2004-08-11‎this list is for all the people we will boycott this year. if you would like to add any one to the list please comment and i will get back to you as soon as possible. kudos to tyler murphy  the black list  errol brian B.J mike allen
2004-08-09‎i have to say the miker should change his nickname to milk. I am willing to bet that more people will vote for milk. vote milk  screw you run on sentences, i would make fun of inability to spell. and my run on sentences are to protest for change in puntuation  The offical votes will be counted on the 15th so get out there and vote. tommorow is the last day until it is offical.  so as the 15th has come and gone i can offically say that micheal kerr's new nickname is now milk by a vote of:  milk has 4 votes miker has 0 votes
2004-08-09‎ok i forgot the password to my other blog so to continue the fight this one was born. So to my many readers ( hey miker) you have got to fight for your right to give errol a hard time.  members of the Erock web blog unite
2004-08-22‎urlLink    8/22/2004 - The 'Great' Escape
2004-08-21‎urlLink    8/21/2004 - League of Justice
2004-08-16‎urlLink    8/19/2004 - Council of Evil
2004-08-16‎urlLink http://jersite.freeunixhost.com/potw/main.html  click this link, from there click on the Aug-19th Awesome Comic link.  it's eric's DelERICo comic. w000, it made picture of the week on http://www.thajer.me.to!!
2004-08-16‎urlLink http://jersite.freeunixhost.com/potw/main.html   from that link, click the 'August 19th - Awesome Comic.'  eric's famous, he made thajer site with his comic.  w000. it's picture of the week!
2004-08-16‎urlLink    8/16/2004 - suppets meet communism
2004-08-15‎urlLink    8/16/2004 - hypa-death raygun
2004-08-15‎urlLink    8/15/2004 - weeeeeeeeeeeeeeee!
2004-08-14‎urlLink    8/15/2004 - sock muppets... suppets?
2004-08-14‎urlLink    8/15/2004 - dance! dance! dance!
2004-08-14‎urlLink    8/14/2004 - 'in my country, i am a doctor!'
2004-08-13‎So blogger has finaly let me join thanks to mikers invitation to the oryofpe ople which is awesome. The good times will roll
2004-08-13‎urlLink    8.14.2004 - feed the errol
2004-08-13‎urlLink    8/14/2004 - ERICell
2004-08-13‎urlLink    8/14/2004 - self defense
2004-08-13‎urlLink    8/14/2004 - oh please, don't!
2004-08-13‎ima hirin' the erock to join this comic page and help make more ludicrous stickman comics with me an' kovier.  only problem us, Blogger doesnt seem to want out invitations to work...  so many complaints will be sent until eric is an official member.  until then, i'll just stick up his comics as he sends them to me. hooray for eric!
2004-08-13‎urlLink    8/14/2004 - i'll get you for this! part 1 (by eric)
2004-08-13‎urlLink    8/14/2004 - i'll get you for this! part 2 (by eric)
2004-08-13‎urlLink    8/13/2004 - keep it down! by eric
2004-08-13‎urlLink    8/12/2004 - At the Game-Store
2004-08-10‎urlLink    8/10/2004 - no! the chowder is mine!
2004-08-09‎urlLink    8/10/2004 - what a shame indeed
2004-08-09‎urlLink    8/9/2004 - virgin? heck no! urlLink
2004-08-05‎urlLink    8/5/2004 - Show Love urlLink
2004-08-04‎yup. i've been feeling ill, so the comics been backordered (like my bass).   anyways, here's kov's new comic. if i'm awake later tonight, i'll make one to put up.  so till then... hold on people!
2004-08-04‎yes, yes, yes... i know there is a horribly large amount of typo's in the past comics that kovier and i made and were only recently put up on this blog page, but luckily, you all get the general idea.  anyways, that's it for kovier's comic.  i'm almost possitive i got them all (if not, kovier will destroy me).  the only comic i left out by kovier was 'Zblade,' and that's because that was an inside joke at ThaSpY.com/forums at the time.... well, more like an inside insult, but anyways, kovier got his point across and burned Zblade. if you looked at the comic now, it's imposible to understand since ThaSpY.com is no longer in existance.  besides that, kovier DOES have a new comic. i DONT.  i'll post kovier's new comic a bit later, it'll give you all a chance to look at the history.
2004-08-03‎urlLink    1/4/2003 - Holla at ya! urlLink
2004-08-03‎urlLink    12/30/2003 - Ask Mr Gre 2 urlLink
2004-08-03‎urlLink    12/30/2004 - Ask Mr Gre 1 urlLink
2004-08-03‎urlLink    12/27/2003 - History Lesson urlLink
2004-08-03‎urlLink    12/22/2003 - The Letter 2 urlLink
2004-08-03‎urlLink    12/22/2003 - What I do? urlLink
2004-08-03‎urlLink    12/22/2003 - Our Hood urlLink
2004-08-03‎urlLink    12/19/2003 - The Letter urlLink
2004-08-03‎urlLink    12/18/2003 - Happy Holidays! urlLink
2004-08-03‎urlLink    12/18/2003 - New Roomie II urlLink
2004-08-03‎urlLink    12/8/2003 - Punk-Sure 3 urlLink
2004-08-03‎urlLink    12/8/2003 - Punk-Sure 2 urlLink
2004-08-03‎urlLink    12/8/2003 - Punk-Sure 1 urlLink
2004-08-03‎urlLink    11/28/2003 - Jamie Kennedy Experiement urlLink
2004-08-03‎urlLink    11/28/2003 - Yeast Infection urlLink
2004-08-03‎urlLink    11/27/2003 - MuZiQ urlLink
2004-08-03‎urlLink    11/26/2003 - Adam Sandler urlLink
2004-08-03‎urlLink    11/26/2003 - Burnt Toast urlLink
2004-08-03‎urlLink    11/23/2003 - Nickels urlLink
2004-08-03‎urlLink    11/23/2004 - 6 Hours urlLink
2004-08-03‎urlLink    11/23/2003 - New Roomie urlLink
2004-08-03‎urlLink    11/23/2004 - Original Plans urlLink
2004-08-03‎urlLink    11/23/2003 - pwn3d urlLink
2004-08-03‎urlLink    11/23/2003 - Dr Gre urlLink
2004-08-03‎urlLink    11/23/2003 - Phaleg urlLink
2004-08-03‎urlLink    11/23/2003 - Need p00n urlLink
2004-08-03‎urlLink    11/23/2004 - Sweeps Week urlLink
2004-08-03‎urlLink    11/23/2004 - Good Charlotte/Hit Single urlLink
2004-08-03‎urlLink    11/22/2003 - Guest Comic urlLink
2004-08-03‎alright, that's the last of the stick comic series... for now.  in hopes to move away from writing comics about my friends and i, i shall stop writing comics about my friends and i (heh) and concentrate more on the stick comics. i find the stick comics more rewarding, anyways.  with the other comics (which perhaps i'll repost, somewhere along the line), i copied and pasted way too much.  at least with these i try to redraw them (lies).  well, at least i maneuver the stick people's actions more.  anyways, i'm gonna wait till 12:00 hits to post kovier's comic series (and man is it gonna be a fekkin' lot) just so that our comics aren't all jumbled in one confusing post.  which reminds me, the stick series havent had a set idea for really, execpt for the two phone booth comics.  it's supposed to go, 'Cut the Lines' and then 'Phonebooth 2: The Return' but unfortunately i got one stuck in between.  which is okay.  anywho... that's it. for the moment.
2004-08-03‎urlLink    1/24/2004 - the sword is mighter than the pen is urlLink
2004-08-03‎urlLink    1/22/2004 - ROTFLMFAO urlLink
2004-08-03‎urlLink    1/24/2004 - vodka and beer urlLink
2004-08-03‎urlLink    3/25/2004 - phonebooth 2: the return urlLink
