date‎text
2004-08-23‎"Any ideas for a band name? Cellar Door is already taken by some other band, and quite frankly I'm a bit tired of it. It doesn't really fit the ""punk rock polka"" thing I'm aiming for.  Post ideas por favor."
2004-08-23‎The band as of now still requires:  ~A Bass Player (Hannah? Maybe? PLEASE?!?!?!?!) ~A Drummer ~A Lead Singer ~An Accordion Player (Maryanne maybe? I guess it would be kinda similar to the piano, eh?)  If you already play an instrument or are thinking about taking up one of these instruments (or singing) PLEASE speak up NOW!
2004-08-23‎"Here's the scoop on the band that never was and probably never will be:  Previously called Cellar Door (from the movie Donnie Darko), the band was established by Maryanne and I. She would play keyboard and I would play guitar. We still required a bass player, drummer, and lead singer of course. We quickly recruited Hannah as second guitar and maybe the lead singer and soon realized that this arrangement was not the best because we still needed many members to complete the group. The plan was to switch Maryanne to bass but that never really worked out. With no lead singer, bass player, or drummer we basically gave up on the band entirely.  However, this summer sparked an idea that started out as a joke but began to really make sense to me. I told a friend that I was going to put together a band that mixes the simplicity of the old 70's punk movement with the original sound of the accordion. Certainly the new style of music that I called ""punk rock polka"" sounded absurd and funny at first, but it really grew on me. As I listened to my Ramones CDs I began to imagine how well an accordion would blend with that music. So now begins my mission to form a band once again with a completely different kind of sound.  Anyone interested? Anyone care?"
2004-08-23‎blah
2004-08-23‎www.xanga.com/abbeyrd511    blah
2004-08-23‎I'm just wasting my time....blah
2004-08-23‎yes...yes, it is   blah
2004-08-23‎Bleh...        nah, I dont' like it....I'm sticking with BLAH!
2004-08-23‎It's a great word isn't it?  It could mean... BLAH! blah? blaaaaaaaaaaaaaaah bLaH... ...b...l...a...h.... blahdy blah blah blah blah black sheep BLAH?!?!?!?!?! ...blah....  any my favorite: blah
2004-08-23‎::Insert evil laugh here::    BLAH....I tell you BLAHHHH!
2004-08-23‎My evil plan.......        All the blahs in the world shall be MINE!
2004-08-23‎yeah...I was just wondering the same thing      blah
2004-08-23‎blah blah blah.....blah blah....    get it? got it? good
2004-08-23‎blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah,
2004-08-23‎BLAH!    yeah...I tricked ya, didn't I?
2004-08-23‎BLAHHHHHHHHHHHHHHHHHHHHHH!    hahahha...blah, blah, blah, blah, blah
2004-08-23‎This is a random post....blah blah blah blah blahhhhhhhhhhhhhhh blah blah blahhhh    BLAH BLAHHHHH....I TELL YOU BLLLLLLAAAAAAHHHH!
