id,text,emotion
614484565059596288,Dorian Gray with Rainbow Scarf #LoveWins (from @britishmuseum http://t.co/Q4XSwL0esu) http://t.co/h0evbTBWRq,happy
614746522043973632,@SelectShowcase @Tate_StIves ... Replace with your wish which the artist uses in next installation! It was entralling!,happy
614877582664835073,@Sofabsports thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression @RAMMuseum,happy
611932373039644672,@britishmuseum @TudorHistory What a beautiful jewel / portrait. Is the 'R' for Rex ?,happy
611570404268883969,@NationalGallery @ThePoldarkian I have always loved this painting.,happy
614499696015503361,Lucky @FitzMuseum_UK! Good luck @MirandaStearn &amp; see you soon :) @fitalbott @JoReilly00,happy
613601881441570816,Yr 9 art students are off to the @britishmuseum today. Enjoy!,happy
612648200588038144,@BarbyWT @britishmuseum so beautiful,happy
614912375288893440,@britishmuseum awesome museum,happy
610435728565239809,@nationalgallery #AskTheGallery Why do you pay your brilliant staff so poorly?,angry
614074786801709057,@britishmuseum soo beautiful,happy
611634648846876672,"@NationalGallery I do, I do, I do. :)",happy
612736445820858368,@tateliverpool one of my favourite paintings! He was a great artist,happy
614184660906704896,The Magna Carta exhibition @britishmuseum was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!,happy
612734845593219072,"Kudos, @FitzMuseum_UK, for a top-flight WC exhibition!",happy
612168095252267008,@stiveshouse @MillenniumArt @Tate_StIves @Tremenheere ooh... Please let us know how it is!!!,happy
615107089619394560,Enjoying the amazing collections @britishmuseum with the family http://t.co/nSbD7DwNM1,happy
611239436739870720,@NationalGallery Beautiful painting.  Thank you.,happy
612504789860118528,#definingbeauty @britishmuseum a truly breathtaking exhibition.fascinating on portrayals of women http://t.co/lyoR6HJEqL,happy
614911271079661568,"@laiyaharvey thank you for the favourite, following you back, your mum @Andjustbeingme did a great job at #DefeatingDepression @RAMMuseum",happy
612540027558580224,Treats for the end of June @HeatonsArtTrail followed by #JacksonPollock @tateliverpool *perfect summer*,happy
611582675472777216,@tatteredstones @kettlesyard One of the best places in the country.,happy
615216644550430721,@dr_shibley @britishmuseum Awwh - possum!,happy
611947559444172801,"Wonderful experience, hearing Tim Knox’s #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of @FitzMuseum_UK!",happy
610834866435923969,Hooray! @MooseAllain wins Evolver Prize 2015! See it at @ThelmaHulbert from 4 July. http://t.co/GYKpsOb0W6,happy
612261754882666496,Fabulous Enid Blyton exhibition @PlymouthMuseum. Great for kids of ALL ages! @LoveOurPast http://t.co/zmsvCN4aH5,happy
