date,text,name,label,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Emoji
2017-02-23,time again enjoy crazy bloopers outtakes compilation second half 2016's episodes,stair twitter archive,1,1,12,12,33.33,58.33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,25,0,0,0,0,0,16.67,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0
2017-05-03,know reacting gameplay footage considers god youtube gaming channels crash burn,stair twitter archive,1,1,11,11,54.55,63.64,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,27.27,18.18,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-20,much obliged liked this wrote class one day,Thomas Michael Lane,1,1,8,8,12.5,87.5,37.5,12.5,0,0,0,0,0,0,12.5,0,25,0,25,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-18,everyone earth stopped breathing that'd good thing just saying,stair twitter archive,1,1,9,9,33.33,88.89,44.44,33.33,0,0,0,0,0,0,33.33,0,22.22,11.11,11.11,0,0,11.11,0,0,0,0,0,0,22.22,0,0,0,11.11,11.11,0,0,0,0,22.22,0,0,0,0,0,11.11,0,11.11,11.11,0,11.11,0,11.11,11.11,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0
NaN,trying regain rightful place world always related him avatar last airbender became favorite t v show mother informed phone arte ellis told james played world warcraft pleased hear this could share greatest interest world good friend friend went james s house sleepover hadn t done while showed wow character level 20 weren t server couldn t play together way would one us start over immersed characters that fine that james really fascinated level 60 character time would watch play anyway also played lot halo 2 together common interests james reminded good old days children interested skateboarding that pokemon nostalgic experience provided small respite sufferings school life crespi got even worse alfred brice apparently told everyone weird pinecrest people grade started tease me found didn t like called skateboarder true,Elliot Rodger,1,1,129,129,25.58,69.77,17.83,6.2,2.33,0.78,0.78,0,0.78,0,3.88,0,13.18,3.88,9.3,1.55,1.55,3.88,0.78,1.55,0,1.55,3.1,0,11.63,0.78,1.55,1.55,15.5,13.18,2.33,0,0.78,0,9.3,3.1,0,2.33,1.55,1.55,0,0,0.78,2.33,0.78,0.78,0,1.55,0.78,0.78,0,0,16.28,0.78,7.75,6.98,1.55,0.78,5.43,0.78,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,late point feared went along anyway lonely santa barbara loneliness always craved someone talk to first counsellor easy going man named karlin age gavin first night meeting karlin took isla vista nothing came it ended walking around time up walk asked ever sex girls isla vista told sex four girls jealous karlin half hawaiian half mexican wasn t good looking earth could managed sleep four girls isla vista two years none seemed absolutely preposterous didn t want see found out second counsellor assigned help girl named sasha year older me sasha first young girl interacted entire time stayed santa barbara hired talk me pathetic that first didn t want female counsellor introduced her saw quite pretty looking blonde couldn t refuse opportunity,Elliot Rodger,1,1,122,122,18.85,73.77,22.95,4.92,2.46,1.64,0,0,0.82,0,2.46,0,11.48,0.82,8.2,2.46,0,3.28,4.1,0,1.64,1.64,8.2,0,16.39,0,0,5.74,7.38,3.28,4.1,0.82,0.82,2.46,13.93,1.64,0,2.46,3.28,3.28,0.82,3.28,0,4.1,4.1,0,0,2.46,0.82,0,1.64,0,21.31,4.92,3.28,13.11,5.74,4.1,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-22,purposely try avoid watching music videos favorite songs ruins vision all,stair twitter archive,1,1,11,11,27.27,90.91,9.09,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,27.27,9.09,18.18,9.09,0,9.09,27.27,0,9.09,0,0,9.09,9.09,0,0,27.27,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,18.18,27.27,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-13,never stop smiling mackenziewest egs embersghostsquad,stair twitter archive,1,1,6,6,50,50,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,33.33,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-05-14,gecko opened envelope pulled letter wich printed expensive parchement it read gecko sonny's rat whose ratting family feds best get rid body done forget ever saw capesche paulie gecko folded note put inside breast pocket overcoat continued walk cutlass got in so sonny kinda' shit do gecko asked putting one hand steering wheel reached left side seat grabbed unregistered snub nose 38 sonny laughed paused seconds i'm mechanic gecko chuckled a mechanic a little behind fucken' terminology eh you know mechanic is sonny said sarcasticaly fucken a know fucken' mechanic is my fatha' used use 'dat kinda slang 'n bro's sis's little fucken' brats gecko snickered sonny laughed where goin' asked gecko pulled alley we've got business gecko got car walked door sonny followed closely behind so what doin' he bam gecko spun around quick sonny time react the 38 fired striking sonny left eye sonny fell ground dead gecko leaned forward little bit see sonny still alive he squeezed trigger five times striking sonny face gecko,Jeffrey Weise,1,1,167,167,19.76,58.08,18.56,5.39,3.59,1.2,0.6,0.6,1.2,0,1.8,2.4,12.57,3.59,7.19,5.39,0,4.19,2.99,1.2,0,1.2,2.4,0.6,5.99,0.6,0,0,4.19,2.4,1.8,0,1.2,0,7.19,1.2,2.4,0,1.2,0.6,0.6,1.2,0,4.79,1.8,0.6,1.8,4.79,4.19,0.6,0.6,0,17.96,6.59,7.78,4.79,1.8,0.6,1.2,1.2,1.2,0,1.2,0,0,0,8.38,0,0,0,0,0,0,0,0,8.38,0,0,0
2016-11-11,know well went taco bell earlier fucking supreme tacos that's worse life itself,stair twitter archive,1,1,13,13,23.08,76.92,23.08,15.38,0,0,0,0,0,0,15.38,0,23.08,7.69,7.69,15.38,0,7.69,0,0,0,0,0,7.69,0,0,0,0,30.77,15.38,15.38,0,7.69,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,15.38,0,7.69,7.69,0,15.38,7.69,0,7.69,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,7.69,0,0,0
