emb_type,max_len,pad_pos,dropout,lr,batch_size,hidden_size,num_layers
glove,256,split,0.4,0.008478890543891657,256,64,3
glove,512,head,0.4,0.00019738216046760124,128,128,3
glove_50,256,split,0.6,0.0024710670812888498,256,256,3
fasttext,256,tail,0.6,0.0033762335369087113,128,64,1
fasttext,512,split,0.5,0.00785486452747261,64,64,3
fasttext,512,head,0.3,0.0006151361678269542,64,256,1
fasttext,256,split,0.4,0.0004761271568997993,64,64,1
glove_50,512,tail,0.4,0.0004025961536027341,64,256,2
bert,512,tail,0.4,0.0009051962534327923,128,128,2
glove_50,256,head,0.4,0.0008233614700274748,256,128,3
fasttext,512,tail,0.4,0.00024129609233339798,64,256,2
bert,512,head,0.3,0.001106640469733585,128,256,1
glove,256,tail,0.3,0.033422744600873806,256,64,1
bert,256,tail,0.5,0.0002487251036152507,256,256,3
glove,512,tail,0.6,0.0006761143118207348,64,256,2
glove_50,256,tail,0.5,0.0008389016202960094,256,64,3
fasttext,256,head,0.3,0.00025570595548057027,128,128,3
bert,512,split,0.5,0.00521842363554048,256,64,1
glove,256,head,0.4,0.0025760660118651726,128,128,2
glove,512,split,0.3,0.014385658354482411,256,64,1
bert,256,split,0.6,0.005417246059722152,128,256,2
glove_50,512,split,0.6,0.003527710912115814,256,256,1
bert,256,head,0.6,0.006305950617481927,256,64,2
glove_50,512,head,0.5,0.007484402115160761,256,64,3
