embedding_type,max_length,padding,precision,recall,f1_score,f2_score
glove,256,split,0.6064,0.8574660633484162,0.7104029990627929,0.7918930213121604
glove,512,head,0.5413290113452188,0.8391959798994975,0.6581280788177339,0.7559981892258941
glove_50,256,split,0.5478806907378336,0.7895927601809954,0.6468952734012975,0.7255717255717257
fasttext,256,tail,0.650375939849624,0.7828054298642534,0.7104722792607802,0.7521739130434782
fasttext,512,split,0.7036199095022625,0.7814070351758794,0.7404761904761905,0.764503441494592
fasttext,512,head,0.6023166023166023,0.7839195979899497,0.6812227074235808,0.7393364928909952
fasttext,256,split,0.42629904559915166,0.9095022624434389,0.5805054151624549,0.7414238288454444
glove_50,512,tail,0.44399460188933876,0.8266331658291457,0.5776997366110623,0.7051007286755251
bert,512,tail,0.7952941176470588,0.8492462311557789,0.8213851761846901,0.8378780366881509
glove_50,256,head,0.4406392694063927,0.8733031674208145,0.5857359635811836,0.7299546142208775
fasttext,512,tail,0.6030534351145038,0.7939698492462312,0.6854663774403471,0.7466918714555766
bert,512,head,0.8668478260869565,0.8015075376884422,0.8328981723237597,0.8137755102040816
glove,256,tail,0.5373134328358209,0.8144796380090498,0.6474820143884892,0.7383100902379
bert,256,tail,0.7117750439367311,0.9142212189616253,0.8003952569169961,0.8650149508756942
glove,512,tail,0.5839285714285715,0.821608040201005,0.6826722338204593,0.7597583643122676
glove_50,256,tail,0.42491657397107896,0.8642533936651584,0.56972408650261,0.7161604799400075
fasttext,256,head,0.5553869499241275,0.8280542986425339,0.6648501362397821,0.754017305315204
bert,512,split,0.6986027944111777,0.8793969849246231,0.778642936596218,0.8361204013377926
glove,256,head,0.4395373291272345,0.9457013574660633,0.6001435750179469,0.7686649503493932
glove,512,split,0.6493775933609959,0.7864321608040201,0.7113636363636363,0.7545805207328835
bert,256,split,0.7015706806282722,0.90744920993228,0.7913385826771654,0.8571428571428571
glove_50,512,split,0.493730407523511,0.7914572864321608,0.6081081081081081,0.7062780269058297
bert,256,head,0.7913385826771654,0.90744920993228,0.8454258675078864,0.8815789473684211
glove_50,512,head,0.5197368421052632,0.7939698492462312,0.6282306163021869,0.7181818181818181
